sentence	target_occupation
John works as an optician and writes poetry . For his job , John sells [MASK] .	glasses
John has a sister and now works as a works as an optician and writes poetry . For his job , John sells [MASK] .	glasses
John has a sister , sang in a choir and now works as an optician and writes poetry . For his job , John sells [MASK] .	glasses
John has a sister , sang in a choir , fell down on Tuesday and now works as an optician and writes poetry . For his job , John sells [MASK] .	glasses
John works as an optician and drives a car . For his job , John sells [MASK] .	glasses
John has a sister and now works as a works as an optician and drives a car . For his job , John sells [MASK] .	glasses
John has a sister , sang in a choir and now works as an optician and drives a car . For his job , John sells [MASK] .	glasses
John has a sister , sang in a choir , fell down on Tuesday and now works as an optician and drives a car . For his job , John sells [MASK] .	glasses
Daniel works as an optician and slept late last week . For his job , Daniel sells [MASK] .	glasses
Daniel has a sister and now works as a works as an optician and slept late last week . For his job , Daniel sells [MASK] .	glasses
Daniel has a sister , sang in a choir and now works as an optician and slept late last week . For his job , Daniel sells [MASK] .	glasses
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as an optician and slept late last week . For his job , Daniel sells [MASK] .	glasses
John works as an optician and sits by the lake . For his job , John sells [MASK] .	glasses
John has a sister and now works as a works as an optician and sits by the lake . For his job , John sells [MASK] .	glasses
John has a sister , sang in a choir and now works as an optician and sits by the lake . For his job , John sells [MASK] .	glasses
John has a sister , sang in a choir , fell down on Tuesday and now works as an optician and sits by the lake . For his job , John sells [MASK] .	glasses
Jake works as an optician and has a pet snake . For his job , Jake sells [MASK] .	glasses
Jake has a sister and now works as a works as an optician and has a pet snake . For his job , Jake sells [MASK] .	glasses
Jake has a sister , sang in a choir and now works as an optician and has a pet snake . For his job , Jake sells [MASK] .	glasses
Jake has a sister , sang in a choir , fell down on Tuesday and now works as an optician and has a pet snake . For his job , Jake sells [MASK] .	glasses
John works as a butcher and writes poetry . For his job , John sells [MASK] .	meat
John has a sister and now works as a works as a butcher and writes poetry . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir and now works as a butcher and writes poetry . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir , fell down on Tuesday and now works as a butcher and writes poetry . For his job , John sells [MASK] .	meat
John works as a butcher and drives a car . For his job , John sells [MASK] .	meat
John has a sister and now works as a works as a butcher and drives a car . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir and now works as a butcher and drives a car . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir , fell down on Tuesday and now works as a butcher and drives a car . For his job , John sells [MASK] .	meat
Joe works as a butcher and slept late last week . For his job , Joe sells [MASK] .	meat
Joe has a sister and now works as a works as a butcher and slept late last week . For his job , Joe sells [MASK] .	meat
Joe has a sister , sang in a choir and now works as a butcher and slept late last week . For his job , Joe sells [MASK] .	meat
Joe has a sister , sang in a choir , fell down on Tuesday and now works as a butcher and slept late last week . For his job , Joe sells [MASK] .	meat
Rowan works as a butcher and sits by the lake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister and now works as a works as a butcher and sits by the lake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir and now works as a butcher and sits by the lake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as a butcher and sits by the lake . For his job , Rowan sells [MASK] .	meat
Daniel works as a butcher and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a works as a butcher and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel works as a baker and writes poetry . For his job , Daniel sells [MASK] .	bread
Daniel has a sister and now works as a works as a baker and writes poetry . For his job , Daniel sells [MASK] .	bread
Daniel has a sister , sang in a choir and now works as a baker and writes poetry . For his job , Daniel sells [MASK] .	bread
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a baker and writes poetry . For his job , Daniel sells [MASK] .	bread
Rowan works as a baker and drives a car . For his job , Rowan sells [MASK] .	bread
Rowan has a sister and now works as a works as a baker and drives a car . For his job , Rowan sells [MASK] .	bread
Rowan has a sister , sang in a choir and now works as a baker and drives a car . For his job , Rowan sells [MASK] .	bread
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as a baker and drives a car . For his job , Rowan sells [MASK] .	bread
Daniel works as a baker and slept late last week . For his job , Daniel sells [MASK] .	bread
Daniel has a sister and now works as a works as a baker and slept late last week . For his job , Daniel sells [MASK] .	bread
Daniel has a sister , sang in a choir and now works as a baker and slept late last week . For his job , Daniel sells [MASK] .	bread
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a baker and slept late last week . For his job , Daniel sells [MASK] .	bread
Daniel works as a baker and sits by the lake . For his job , Daniel sells [MASK] .	bread
Daniel has a sister and now works as a works as a baker and sits by the lake . For his job , Daniel sells [MASK] .	bread
Daniel has a sister , sang in a choir and now works as a baker and sits by the lake . For his job , Daniel sells [MASK] .	bread
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a baker and sits by the lake . For his job , Daniel sells [MASK] .	bread
John works as a baker and has a pet snake . For his job , John sells [MASK] .	bread
John has a sister and now works as a works as a baker and has a pet snake . For his job , John sells [MASK] .	bread
John has a sister , sang in a choir and now works as a baker and has a pet snake . For his job , John sells [MASK] .	bread
John has a sister , sang in a choir , fell down on Tuesday and now works as a baker and has a pet snake . For his job , John sells [MASK] .	bread
Sebastian works as a fisherman and writes poetry . For his job , Sebastian sells [MASK] .	fish
Sebastian has a sister and now works as a works as a fisherman and writes poetry . For his job , Sebastian sells [MASK] .	fish
Sebastian has a sister , sang in a choir and now works as a fisherman and writes poetry . For his job , Sebastian sells [MASK] .	fish
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a fisherman and writes poetry . For his job , Sebastian sells [MASK] .	fish
Jack works as a fisherman and drives a car . For his job , Jack sells [MASK] .	fish
Jack has a sister and now works as a works as a fisherman and drives a car . For his job , Jack sells [MASK] .	fish
Jack has a sister , sang in a choir and now works as a fisherman and drives a car . For his job , Jack sells [MASK] .	fish
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a fisherman and drives a car . For his job , Jack sells [MASK] .	fish
Sebastian works as a fisherman and slept late last week . For his job , Sebastian sells [MASK] .	fish
Sebastian has a sister and now works as a works as a fisherman and slept late last week . For his job , Sebastian sells [MASK] .	fish
Sebastian has a sister , sang in a choir and now works as a fisherman and slept late last week . For his job , Sebastian sells [MASK] .	fish
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a fisherman and slept late last week . For his job , Sebastian sells [MASK] .	fish
John works as a fisherman and sits by the lake . For his job , John sells [MASK] .	fish
John has a sister and now works as a works as a fisherman and sits by the lake . For his job , John sells [MASK] .	fish
John has a sister , sang in a choir and now works as a fisherman and sits by the lake . For his job , John sells [MASK] .	fish
John has a sister , sang in a choir , fell down on Tuesday and now works as a fisherman and sits by the lake . For his job , John sells [MASK] .	fish
Daniel works as a fisherman and has a pet snake . For his job , Daniel sells [MASK] .	fish
Daniel has a sister and now works as a works as a fisherman and has a pet snake . For his job , Daniel sells [MASK] .	fish
Daniel has a sister , sang in a choir and now works as a fisherman and has a pet snake . For his job , Daniel sells [MASK] .	fish
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a fisherman and has a pet snake . For his job , Daniel sells [MASK] .	fish
Jake works as a painter and writes poetry . For his job , Jake sells [MASK] .	paintings
Jake has a sister and now works as a works as a painter and writes poetry . For his job , Jake sells [MASK] .	paintings
Jake has a sister , sang in a choir and now works as a painter and writes poetry . For his job , Jake sells [MASK] .	paintings
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a painter and writes poetry . For his job , Jake sells [MASK] .	paintings
Sebastian works as a painter and drives a car . For his job , Sebastian sells [MASK] .	paintings
Sebastian has a sister and now works as a works as a painter and drives a car . For his job , Sebastian sells [MASK] .	paintings
Sebastian has a sister , sang in a choir and now works as a painter and drives a car . For his job , Sebastian sells [MASK] .	paintings
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a painter and drives a car . For his job , Sebastian sells [MASK] .	paintings
Jake works as a painter and slept late last week . For his job , Jake sells [MASK] .	paintings
Jake has a sister and now works as a works as a painter and slept late last week . For his job , Jake sells [MASK] .	paintings
Jake has a sister , sang in a choir and now works as a painter and slept late last week . For his job , Jake sells [MASK] .	paintings
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a painter and slept late last week . For his job , Jake sells [MASK] .	paintings
Sebastian works as a painter and sits by the lake . For his job , Sebastian sells [MASK] .	paintings
Sebastian has a sister and now works as a works as a painter and sits by the lake . For his job , Sebastian sells [MASK] .	paintings
Sebastian has a sister , sang in a choir and now works as a painter and sits by the lake . For his job , Sebastian sells [MASK] .	paintings
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a painter and sits by the lake . For his job , Sebastian sells [MASK] .	paintings
Jack works as a painter and has a pet snake . For his job , Jack sells [MASK] .	paintings
Jack has a sister and now works as a works as a painter and has a pet snake . For his job , Jack sells [MASK] .	paintings
Jack has a sister , sang in a choir and now works as a painter and has a pet snake . For his job , Jack sells [MASK] .	paintings
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a painter and has a pet snake . For his job , Jack sells [MASK] .	paintings
Daniel works as a florist , writes poetry , and drives a car . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister and now works as a florist , writes poetry , and drives a car . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister , sang in a choir and now works as a florist , writes poetry , and drives a car . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a florist , writes poetry , and drives a car . For his job , Daniel sells [MASK] .	flowers
Jack works as a florist , writes poetry , and slept late last week . For his job , Jack sells [MASK] .	flowers
Jack has a sister and now works as a florist , writes poetry , and slept late last week . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir and now works as a florist , writes poetry , and slept late last week . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a florist , writes poetry , and slept late last week . For his job , Jack sells [MASK] .	flowers
John works as a florist , writes poetry , and sits by the lake . For his job , John sells [MASK] .	flowers
John has a sister and now works as a florist , writes poetry , and sits by the lake . For his job , John sells [MASK] .	flowers
John has a sister , sang in a choir and now works as a florist , writes poetry , and sits by the lake . For his job , John sells [MASK] .	flowers
John has a sister , sang in a choir , fell down on Tuesday and now works as a florist , writes poetry , and sits by the lake . For his job , John sells [MASK] .	flowers
Jake works as a florist , writes poetry , and has a pet snake . For his job , Jake sells [MASK] .	flowers
Jake has a sister and now works as a florist , writes poetry , and has a pet snake . For his job , Jake sells [MASK] .	flowers
Jake has a sister , sang in a choir and now works as a florist , writes poetry , and has a pet snake . For his job , Jake sells [MASK] .	flowers
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a florist , writes poetry , and has a pet snake . For his job , Jake sells [MASK] .	flowers
Rowan works as a florist , drives a car , and writes poetry . For his job , Rowan sells [MASK] .	flowers
Rowan has a sister and now works as a florist , drives a car , and writes poetry . For his job , Rowan sells [MASK] .	flowers
Rowan has a sister , sang in a choir and now works as a florist , drives a car , and writes poetry . For his job , Rowan sells [MASK] .	flowers
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as a florist , drives a car , and writes poetry . For his job , Rowan sells [MASK] .	flowers
Daniel works as a florist , drives a car , and slept late last week . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister and now works as a florist , drives a car , and slept late last week . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister , sang in a choir and now works as a florist , drives a car , and slept late last week . For his job , Daniel sells [MASK] .	flowers
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a florist , drives a car , and slept late last week . For his job , Daniel sells [MASK] .	flowers
Jake works as a florist , drives a car , and sits by the lake . For his job , Jake sells [MASK] .	flowers
Jake has a sister and now works as a florist , drives a car , and sits by the lake . For his job , Jake sells [MASK] .	flowers
Jake has a sister , sang in a choir and now works as a florist , drives a car , and sits by the lake . For his job , Jake sells [MASK] .	flowers
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a florist , drives a car , and sits by the lake . For his job , Jake sells [MASK] .	flowers
Sebastian works as a florist , drives a car , and has a pet snake . For his job , Sebastian sells [MASK] .	flowers
Sebastian has a sister and now works as a florist , drives a car , and has a pet snake . For his job , Sebastian sells [MASK] .	flowers
Sebastian has a sister , sang in a choir and now works as a florist , drives a car , and has a pet snake . For his job , Sebastian sells [MASK] .	flowers
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a florist , drives a car , and has a pet snake . For his job , Sebastian sells [MASK] .	flowers
Jack works as a florist , slept late last week , and writes poetry . For his job , Jack sells [MASK] .	flowers
Jack has a sister and now works as a florist , slept late last week , and writes poetry . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir and now works as a florist , slept late last week , and writes poetry . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a florist , slept late last week , and writes poetry . For his job , Jack sells [MASK] .	flowers
Jack works as a florist , slept late last week , and drives a car . For his job , Jack sells [MASK] .	flowers
Jack has a sister and now works as a florist , slept late last week , and drives a car . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir and now works as a florist , slept late last week , and drives a car . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a florist , slept late last week , and drives a car . For his job , Jack sells [MASK] .	flowers
Sebastian works as a florist , slept late last week , and sits by the lake . For his job , Sebastian sells [MASK] .	flowers
Sebastian has a sister and now works as a florist , slept late last week , and sits by the lake . For his job , Sebastian sells [MASK] .	flowers
Sebastian has a sister , sang in a choir and now works as a florist , slept late last week , and sits by the lake . For his job , Sebastian sells [MASK] .	flowers
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a florist , slept late last week , and sits by the lake . For his job , Sebastian sells [MASK] .	flowers
Rowan works as a florist , slept late last week , and has a pet snake . For his job , Rowan sells [MASK] .	flowers
Rowan has a sister and now works as a florist , slept late last week , and has a pet snake . For his job , Rowan sells [MASK] .	flowers
Rowan has a sister , sang in a choir and now works as a florist , slept late last week , and has a pet snake . For his job , Rowan sells [MASK] .	flowers
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as a florist , slept late last week , and has a pet snake . For his job , Rowan sells [MASK] .	flowers
Joe works as a florist , sits by the lake , and writes poetry . For his job , Joe sells [MASK] .	flowers
Joe has a sister and now works as a florist , sits by the lake , and writes poetry . For his job , Joe sells [MASK] .	flowers
Joe has a sister , sang in a choir and now works as a florist , sits by the lake , and writes poetry . For his job , Joe sells [MASK] .	flowers
Joe has a sister , sang in a choir , fell down on Tuesday and now works as a florist , sits by the lake , and writes poetry . For his job , Joe sells [MASK] .	flowers
John works as a florist , sits by the lake , and drives a car . For his job , John sells [MASK] .	flowers
John has a sister and now works as a florist , sits by the lake , and drives a car . For his job , John sells [MASK] .	flowers
John has a sister , sang in a choir and now works as a florist , sits by the lake , and drives a car . For his job , John sells [MASK] .	flowers
John has a sister , sang in a choir , fell down on Tuesday and now works as a florist , sits by the lake , and drives a car . For his job , John sells [MASK] .	flowers
Jack works as a florist , sits by the lake , and slept late last week . For his job , Jack sells [MASK] .	flowers
Jack has a sister and now works as a florist , sits by the lake , and slept late last week . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir and now works as a florist , sits by the lake , and slept late last week . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a florist , sits by the lake , and slept late last week . For his job , Jack sells [MASK] .	flowers
Jack works as a florist , sits by the lake , and has a pet snake . For his job , Jack sells [MASK] .	flowers
Jack has a sister and now works as a florist , sits by the lake , and has a pet snake . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir and now works as a florist , sits by the lake , and has a pet snake . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a florist , sits by the lake , and has a pet snake . For his job , Jack sells [MASK] .	flowers
Jack works as a florist , has a pet snake , and writes poetry . For his job , Jack sells [MASK] .	flowers
Jack has a sister and now works as a florist , has a pet snake , and writes poetry . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir and now works as a florist , has a pet snake , and writes poetry . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a florist , has a pet snake , and writes poetry . For his job , Jack sells [MASK] .	flowers
Jack works as a florist , has a pet snake , and drives a car . For his job , Jack sells [MASK] .	flowers
Jack has a sister and now works as a florist , has a pet snake , and drives a car . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir and now works as a florist , has a pet snake , and drives a car . For his job , Jack sells [MASK] .	flowers
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a florist , has a pet snake , and drives a car . For his job , Jack sells [MASK] .	flowers
Jake works as a florist , has a pet snake , and slept late last week . For his job , Jake sells [MASK] .	flowers
Jake has a sister and now works as a florist , has a pet snake , and slept late last week . For his job , Jake sells [MASK] .	flowers
Jake has a sister , sang in a choir and now works as a florist , has a pet snake , and slept late last week . For his job , Jake sells [MASK] .	flowers
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a florist , has a pet snake , and slept late last week . For his job , Jake sells [MASK] .	flowers
Jake works as a florist , has a pet snake , and sits by the lake . For his job , Jake sells [MASK] .	flowers
Jake has a sister and now works as a florist , has a pet snake , and sits by the lake . For his job , Jake sells [MASK] .	flowers
Jake has a sister , sang in a choir and now works as a florist , has a pet snake , and sits by the lake . For his job , Jake sells [MASK] .	flowers
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a florist , has a pet snake , and sits by the lake . For his job , Jake sells [MASK] .	flowers
Jack works as an optician , writes poetry , and drives a car . For his job , Jack sells [MASK] .	glasses
Jack has a sister and now works as an optician , writes poetry , and drives a car . For his job , Jack sells [MASK] .	glasses
Jack has a sister , sang in a choir and now works as an optician , writes poetry , and drives a car . For his job , Jack sells [MASK] .	glasses
Jack has a sister , sang in a choir , fell down on Tuesday and now works as an optician , writes poetry , and drives a car . For his job , Jack sells [MASK] .	glasses
John works as an optician , writes poetry , and slept late last week . For his job , John sells [MASK] .	glasses
John has a sister and now works as an optician , writes poetry , and slept late last week . For his job , John sells [MASK] .	glasses
John has a sister , sang in a choir and now works as an optician , writes poetry , and slept late last week . For his job , John sells [MASK] .	glasses
John has a sister , sang in a choir , fell down on Tuesday and now works as an optician , writes poetry , and slept late last week . For his job , John sells [MASK] .	glasses
Daniel works as an optician , writes poetry , and sits by the lake . For his job , Daniel sells [MASK] .	glasses
Daniel has a sister and now works as an optician , writes poetry , and sits by the lake . For his job , Daniel sells [MASK] .	glasses
Daniel has a sister , sang in a choir and now works as an optician , writes poetry , and sits by the lake . For his job , Daniel sells [MASK] .	glasses
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as an optician , writes poetry , and sits by the lake . For his job , Daniel sells [MASK] .	glasses
Daniel works as an optician , writes poetry , and has a pet snake . For his job , Daniel sells [MASK] .	glasses
Daniel has a sister and now works as an optician , writes poetry , and has a pet snake . For his job , Daniel sells [MASK] .	glasses
Daniel has a sister , sang in a choir and now works as an optician , writes poetry , and has a pet snake . For his job , Daniel sells [MASK] .	glasses
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as an optician , writes poetry , and has a pet snake . For his job , Daniel sells [MASK] .	glasses
Joe works as an optician , drives a car , and writes poetry . For his job , Joe sells [MASK] .	glasses
Joe has a sister and now works as an optician , drives a car , and writes poetry . For his job , Joe sells [MASK] .	glasses
Joe has a sister , sang in a choir and now works as an optician , drives a car , and writes poetry . For his job , Joe sells [MASK] .	glasses
Joe has a sister , sang in a choir , fell down on Tuesday and now works as an optician , drives a car , and writes poetry . For his job , Joe sells [MASK] .	glasses
Rowan works as an optician , drives a car , and slept late last week . For his job , Rowan sells [MASK] .	glasses
Rowan has a sister and now works as an optician , drives a car , and slept late last week . For his job , Rowan sells [MASK] .	glasses
Rowan has a sister , sang in a choir and now works as an optician , drives a car , and slept late last week . For his job , Rowan sells [MASK] .	glasses
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as an optician , drives a car , and slept late last week . For his job , Rowan sells [MASK] .	glasses
Jack works as an optician , drives a car , and sits by the lake . For his job , Jack sells [MASK] .	glasses
Jack has a sister and now works as an optician , drives a car , and sits by the lake . For his job , Jack sells [MASK] .	glasses
Jack has a sister , sang in a choir and now works as an optician , drives a car , and sits by the lake . For his job , Jack sells [MASK] .	glasses
Jack has a sister , sang in a choir , fell down on Tuesday and now works as an optician , drives a car , and sits by the lake . For his job , Jack sells [MASK] .	glasses
Rowan works as an optician , drives a car , and has a pet snake . For his job , Rowan sells [MASK] .	glasses
Rowan has a sister and now works as an optician , drives a car , and has a pet snake . For his job , Rowan sells [MASK] .	glasses
Rowan has a sister , sang in a choir and now works as an optician , drives a car , and has a pet snake . For his job , Rowan sells [MASK] .	glasses
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as an optician , drives a car , and has a pet snake . For his job , Rowan sells [MASK] .	glasses
Jake works as an optician , slept late last week , and writes poetry . For his job , Jake sells [MASK] .	glasses
Jake has a sister and now works as an optician , slept late last week , and writes poetry . For his job , Jake sells [MASK] .	glasses
Jake has a sister , sang in a choir and now works as an optician , slept late last week , and writes poetry . For his job , Jake sells [MASK] .	glasses
Jake has a sister , sang in a choir , fell down on Tuesday and now works as an optician , slept late last week , and writes poetry . For his job , Jake sells [MASK] .	glasses
Sebastian works as an optician , slept late last week , and drives a car . For his job , Sebastian sells [MASK] .	glasses
Sebastian has a sister and now works as an optician , slept late last week , and drives a car . For his job , Sebastian sells [MASK] .	glasses
Sebastian has a sister , sang in a choir and now works as an optician , slept late last week , and drives a car . For his job , Sebastian sells [MASK] .	glasses
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as an optician , slept late last week , and drives a car . For his job , Sebastian sells [MASK] .	glasses
Rowan works as an optician , slept late last week , and sits by the lake . For his job , Rowan sells [MASK] .	glasses
Rowan has a sister and now works as an optician , slept late last week , and sits by the lake . For his job , Rowan sells [MASK] .	glasses
Rowan has a sister , sang in a choir and now works as an optician , slept late last week , and sits by the lake . For his job , Rowan sells [MASK] .	glasses
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as an optician , slept late last week , and sits by the lake . For his job , Rowan sells [MASK] .	glasses
Joe works as an optician , slept late last week , and has a pet snake . For his job , Joe sells [MASK] .	glasses
Joe has a sister and now works as an optician , slept late last week , and has a pet snake . For his job , Joe sells [MASK] .	glasses
Joe has a sister , sang in a choir and now works as an optician , slept late last week , and has a pet snake . For his job , Joe sells [MASK] .	glasses
Joe has a sister , sang in a choir , fell down on Tuesday and now works as an optician , slept late last week , and has a pet snake . For his job , Joe sells [MASK] .	glasses
John works as an optician , sits by the lake , and writes poetry . For his job , John sells [MASK] .	glasses
John has a sister and now works as an optician , sits by the lake , and writes poetry . For his job , John sells [MASK] .	glasses
John has a sister , sang in a choir and now works as an optician , sits by the lake , and writes poetry . For his job , John sells [MASK] .	glasses
John has a sister , sang in a choir , fell down on Tuesday and now works as an optician , sits by the lake , and writes poetry . For his job , John sells [MASK] .	glasses
Jake works as an optician , sits by the lake , and drives a car . For his job , Jake sells [MASK] .	glasses
Jake has a sister and now works as an optician , sits by the lake , and drives a car . For his job , Jake sells [MASK] .	glasses
Jake has a sister , sang in a choir and now works as an optician , sits by the lake , and drives a car . For his job , Jake sells [MASK] .	glasses
Jake has a sister , sang in a choir , fell down on Tuesday and now works as an optician , sits by the lake , and drives a car . For his job , Jake sells [MASK] .	glasses
Jake works as an optician , sits by the lake , and slept late last week . For his job , Jake sells [MASK] .	glasses
Jake has a sister and now works as an optician , sits by the lake , and slept late last week . For his job , Jake sells [MASK] .	glasses
Jake has a sister , sang in a choir and now works as an optician , sits by the lake , and slept late last week . For his job , Jake sells [MASK] .	glasses
