context	ending	target_occupation	attractor_1	attractor_2	attractor_3
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, Sebastian lives in Helsinki, Joe lives in Beijing and John lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Helsinki	Beijing	Jakarta
John lives in Chile, Jack lives in Helsinki, Sebastian lives in Beijing and Daniel lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Helsinki	Beijing	Warsaw
John has a sister and now lives in Chile, Jack lives in Helsinki, Sebastian lives in Beijing and Daniel lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Helsinki	Beijing	Warsaw
John has a sister, played basketball and now lives in Chile, Jack lives in Helsinki, Sebastian lives in Beijing and Daniel lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Helsinki	Beijing	Warsaw
John has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Helsinki, Sebastian lives in Beijing and Daniel lives in Warsaw.	The capital of John's country is [MASK].	Santiago	Helsinki	Beijing	Warsaw
Jack lives in Chile, John lives in Helsinki, Rowan lives in Paris and Jake lives in Beijing.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Paris	Beijing
Jack has a sister and now lives in Chile, John lives in Helsinki, Rowan lives in Paris and Jake lives in Beijing.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Paris	Beijing
Jack has a sister, played basketball and now lives in Chile, John lives in Helsinki, Rowan lives in Paris and Jake lives in Beijing.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Paris	Beijing
Jack has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Helsinki, Rowan lives in Paris and Jake lives in Beijing.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Paris	Beijing
John lives in Chile, Jack lives in Helsinki, Joe lives in Paris and Jake lives in Jakarta.	The capital of John's country is [MASK].	Santiago	Helsinki	Paris	Jakarta
John has a sister and now lives in Chile, Jack lives in Helsinki, Joe lives in Paris and Jake lives in Jakarta.	The capital of John's country is [MASK].	Santiago	Helsinki	Paris	Jakarta
John has a sister, played basketball and now lives in Chile, Jack lives in Helsinki, Joe lives in Paris and Jake lives in Jakarta.	The capital of John's country is [MASK].	Santiago	Helsinki	Paris	Jakarta
John has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Helsinki, Joe lives in Paris and Jake lives in Jakarta.	The capital of John's country is [MASK].	Santiago	Helsinki	Paris	Jakarta
Jack lives in Chile, John lives in Helsinki, Jake lives in Paris and Rowan lives in Warsaw.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Paris	Warsaw
Jack has a sister and now lives in Chile, John lives in Helsinki, Jake lives in Paris and Rowan lives in Warsaw.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Paris	Warsaw
Jack has a sister, played basketball and now lives in Chile, John lives in Helsinki, Jake lives in Paris and Rowan lives in Warsaw.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Paris	Warsaw
Jack has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Helsinki, Jake lives in Paris and Rowan lives in Warsaw.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Paris	Warsaw
Jack lives in Chile, Rowan lives in Helsinki, Joe lives in Jakarta and Daniel lives in Beijing.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Jakarta	Beijing
Jack has a sister and now lives in Chile, Rowan lives in Helsinki, Joe lives in Jakarta and Daniel lives in Beijing.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Jakarta	Beijing
Jack has a sister, played basketball and now lives in Chile, Rowan lives in Helsinki, Joe lives in Jakarta and Daniel lives in Beijing.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Jakarta	Beijing
Jack has a sister, played basketball, sang in a choir and now lives in Chile, Rowan lives in Helsinki, Joe lives in Jakarta and Daniel lives in Beijing.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Jakarta	Beijing
Daniel lives in Chile, Jake lives in Helsinki, Rowan lives in Jakarta and Sebastian lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Helsinki	Jakarta	Paris
Daniel has a sister and now lives in Chile, Jake lives in Helsinki, Rowan lives in Jakarta and Sebastian lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Helsinki	Jakarta	Paris
Daniel has a sister, played basketball and now lives in Chile, Jake lives in Helsinki, Rowan lives in Jakarta and Sebastian lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Helsinki	Jakarta	Paris
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, Jake lives in Helsinki, Rowan lives in Jakarta and Sebastian lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Helsinki	Jakarta	Paris
Jake lives in Chile, Daniel lives in Helsinki, Jack lives in Jakarta and John lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Jakarta	Warsaw
Jake has a sister and now lives in Chile, Daniel lives in Helsinki, Jack lives in Jakarta and John lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Jakarta	Warsaw
Jake has a sister, played basketball and now lives in Chile, Daniel lives in Helsinki, Jack lives in Jakarta and John lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Jakarta	Warsaw
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Helsinki, Jack lives in Jakarta and John lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Jakarta	Warsaw
Jake lives in Chile, Joe lives in Helsinki, Rowan lives in Warsaw and Sebastian lives in Beijing.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Warsaw	Beijing
Jake has a sister and now lives in Chile, Joe lives in Helsinki, Rowan lives in Warsaw and Sebastian lives in Beijing.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Warsaw	Beijing
Jake has a sister, played basketball and now lives in Chile, Joe lives in Helsinki, Rowan lives in Warsaw and Sebastian lives in Beijing.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Warsaw	Beijing
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Joe lives in Helsinki, Rowan lives in Warsaw and Sebastian lives in Beijing.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Warsaw	Beijing
Jake lives in Chile, Daniel lives in Helsinki, Rowan lives in Warsaw and Jack lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Warsaw	Paris
Jake has a sister and now lives in Chile, Daniel lives in Helsinki, Rowan lives in Warsaw and Jack lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Warsaw	Paris
Jake has a sister, played basketball and now lives in Chile, Daniel lives in Helsinki, Rowan lives in Warsaw and Jack lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Warsaw	Paris
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Helsinki, Rowan lives in Warsaw and Jack lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Warsaw	Paris
Rowan lives in Chile, John lives in Helsinki, Joe lives in Warsaw and Jack lives in Jakarta.	The capital of Rowan's country is [MASK].	Santiago	Helsinki	Warsaw	Jakarta
Rowan has a sister and now lives in Chile, John lives in Helsinki, Joe lives in Warsaw and Jack lives in Jakarta.	The capital of Rowan's country is [MASK].	Santiago	Helsinki	Warsaw	Jakarta
Rowan has a sister, played basketball and now lives in Chile, John lives in Helsinki, Joe lives in Warsaw and Jack lives in Jakarta.	The capital of Rowan's country is [MASK].	Santiago	Helsinki	Warsaw	Jakarta
Rowan has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Helsinki, Joe lives in Warsaw and Jack lives in Jakarta.	The capital of Rowan's country is [MASK].	Santiago	Helsinki	Warsaw	Jakarta
Joe lives in Chile, Jack lives in Paris, Jake lives in Beijing and Sebastian lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Paris	Beijing	Helsinki
Joe has a sister and now lives in Chile, Jack lives in Paris, Jake lives in Beijing and Sebastian lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Paris	Beijing	Helsinki
Joe has a sister, played basketball and now lives in Chile, Jack lives in Paris, Jake lives in Beijing and Sebastian lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Paris	Beijing	Helsinki
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Paris, Jake lives in Beijing and Sebastian lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Paris	Beijing	Helsinki
Jake lives in Chile, John lives in Paris, Jack lives in Beijing and Rowan lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Paris	Beijing	Jakarta
Jake has a sister and now lives in Chile, John lives in Paris, Jack lives in Beijing and Rowan lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Paris	Beijing	Jakarta
Jake has a sister, played basketball and now lives in Chile, John lives in Paris, Jack lives in Beijing and Rowan lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Paris	Beijing	Jakarta
Jake has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Paris, Jack lives in Beijing and Rowan lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Paris	Beijing	Jakarta
Joe lives in Chile, John lives in Paris, Rowan lives in Beijing and Sebastian lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Paris	Beijing	Warsaw
Joe has a sister and now lives in Chile, John lives in Paris, Rowan lives in Beijing and Sebastian lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Paris	Beijing	Warsaw
Joe has a sister, played basketball and now lives in Chile, John lives in Paris, Rowan lives in Beijing and Sebastian lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Paris	Beijing	Warsaw
Joe has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Paris, Rowan lives in Beijing and Sebastian lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Paris	Beijing	Warsaw
Joe lives in Chile, Rowan lives in Paris, Jake lives in Helsinki and Daniel lives in Beijing.	The capital of Joe's country is [MASK].	Santiago	Paris	Helsinki	Beijing
Joe has a sister and now lives in Chile, Rowan lives in Paris, Jake lives in Helsinki and Daniel lives in Beijing.	The capital of Joe's country is [MASK].	Santiago	Paris	Helsinki	Beijing
Joe has a sister, played basketball and now lives in Chile, Rowan lives in Paris, Jake lives in Helsinki and Daniel lives in Beijing.	The capital of Joe's country is [MASK].	Santiago	Paris	Helsinki	Beijing
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Rowan lives in Paris, Jake lives in Helsinki and Daniel lives in Beijing.	The capital of Joe's country is [MASK].	Santiago	Paris	Helsinki	Beijing
Daniel lives in Chile, Sebastian lives in Paris, Joe lives in Helsinki and Rowan lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Paris	Helsinki	Jakarta
Daniel has a sister and now lives in Chile, Sebastian lives in Paris, Joe lives in Helsinki and Rowan lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Paris	Helsinki	Jakarta
Daniel has a sister, played basketball and now lives in Chile, Sebastian lives in Paris, Joe lives in Helsinki and Rowan lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Paris	Helsinki	Jakarta
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, Sebastian lives in Paris, Joe lives in Helsinki and Rowan lives in Jakarta.	The capital of Daniel's country is [MASK].	Santiago	Paris	Helsinki	Jakarta
Joe lives in Chile, Jack lives in Paris, Rowan lives in Helsinki and Daniel lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Paris	Helsinki	Warsaw
Joe has a sister and now lives in Chile, Jack lives in Paris, Rowan lives in Helsinki and Daniel lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Paris	Helsinki	Warsaw
Joe has a sister, played basketball and now lives in Chile, Jack lives in Paris, Rowan lives in Helsinki and Daniel lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Paris	Helsinki	Warsaw
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Paris, Rowan lives in Helsinki and Daniel lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Paris	Helsinki	Warsaw
Sebastian lives in Chile, Joe lives in Paris, John lives in Jakarta and Jake lives in Beijing.	The capital of Sebastian's country is [MASK].	Santiago	Paris	Jakarta	Beijing
Sebastian has a sister and now lives in Chile, Joe lives in Paris, John lives in Jakarta and Jake lives in Beijing.	The capital of Sebastian's country is [MASK].	Santiago	Paris	Jakarta	Beijing
Sebastian has a sister, played basketball and now lives in Chile, Joe lives in Paris, John lives in Jakarta and Jake lives in Beijing.	The capital of Sebastian's country is [MASK].	Santiago	Paris	Jakarta	Beijing
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Joe lives in Paris, John lives in Jakarta and Jake lives in Beijing.	The capital of Sebastian's country is [MASK].	Santiago	Paris	Jakarta	Beijing
Joe lives in Chile, Sebastian lives in Paris, John lives in Jakarta and Rowan lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Paris	Jakarta	Helsinki
Joe has a sister and now lives in Chile, Sebastian lives in Paris, John lives in Jakarta and Rowan lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Paris	Jakarta	Helsinki
Joe has a sister, played basketball and now lives in Chile, Sebastian lives in Paris, John lives in Jakarta and Rowan lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Paris	Jakarta	Helsinki
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Sebastian lives in Paris, John lives in Jakarta and Rowan lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Paris	Jakarta	Helsinki
Joe lives in Chile, Sebastian lives in Paris, Rowan lives in Jakarta and John lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Paris	Jakarta	Warsaw
Joe has a sister and now lives in Chile, Sebastian lives in Paris, Rowan lives in Jakarta and John lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Paris	Jakarta	Warsaw
Joe has a sister, played basketball and now lives in Chile, Sebastian lives in Paris, Rowan lives in Jakarta and John lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Paris	Jakarta	Warsaw
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Sebastian lives in Paris, Rowan lives in Jakarta and John lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Paris	Jakarta	Warsaw
Daniel lives in Chile, Jake lives in Paris, John lives in Warsaw and Joe lives in Beijing.	The capital of Daniel's country is [MASK].	Santiago	Paris	Warsaw	Beijing
Daniel has a sister and now lives in Chile, Jake lives in Paris, John lives in Warsaw and Joe lives in Beijing.	The capital of Daniel's country is [MASK].	Santiago	Paris	Warsaw	Beijing
Daniel has a sister, played basketball and now lives in Chile, Jake lives in Paris, John lives in Warsaw and Joe lives in Beijing.	The capital of Daniel's country is [MASK].	Santiago	Paris	Warsaw	Beijing
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, Jake lives in Paris, John lives in Warsaw and Joe lives in Beijing.	The capital of Daniel's country is [MASK].	Santiago	Paris	Warsaw	Beijing
John lives in Chile, Jack lives in Paris, Jake lives in Warsaw and Rowan lives in Helsinki.	The capital of John's country is [MASK].	Santiago	Paris	Warsaw	Helsinki
John has a sister and now lives in Chile, Jack lives in Paris, Jake lives in Warsaw and Rowan lives in Helsinki.	The capital of John's country is [MASK].	Santiago	Paris	Warsaw	Helsinki
John has a sister, played basketball and now lives in Chile, Jack lives in Paris, Jake lives in Warsaw and Rowan lives in Helsinki.	The capital of John's country is [MASK].	Santiago	Paris	Warsaw	Helsinki
John has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Paris, Jake lives in Warsaw and Rowan lives in Helsinki.	The capital of John's country is [MASK].	Santiago	Paris	Warsaw	Helsinki
Sebastian lives in Chile, John lives in Paris, Joe lives in Warsaw and Jake lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Paris	Warsaw	Jakarta
Sebastian has a sister and now lives in Chile, John lives in Paris, Joe lives in Warsaw and Jake lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Paris	Warsaw	Jakarta
Sebastian has a sister, played basketball and now lives in Chile, John lives in Paris, Joe lives in Warsaw and Jake lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Paris	Warsaw	Jakarta
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Paris, Joe lives in Warsaw and Jake lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Paris	Warsaw	Jakarta
Sebastian lives in Chile, Jack lives in Jakarta, John lives in Beijing and Rowan lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Jakarta	Beijing	Helsinki
Sebastian has a sister and now lives in Chile, Jack lives in Jakarta, John lives in Beijing and Rowan lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Jakarta	Beijing	Helsinki
Sebastian has a sister, played basketball and now lives in Chile, Jack lives in Jakarta, John lives in Beijing and Rowan lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Jakarta	Beijing	Helsinki
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Jakarta, John lives in Beijing and Rowan lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Jakarta	Beijing	Helsinki
Jake lives in Chile, Sebastian lives in Jakarta, Daniel lives in Beijing and Rowan lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Jakarta	Beijing	Paris
Jake has a sister and now lives in Chile, Sebastian lives in Jakarta, Daniel lives in Beijing and Rowan lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Jakarta	Beijing	Paris
Jake has a sister, played basketball and now lives in Chile, Sebastian lives in Jakarta, Daniel lives in Beijing and Rowan lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Jakarta	Beijing	Paris
