context	ending	target_occupation	attractor_1	attractor_2	attractor_3	attractor_4	attractor_5
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Rowan lives in Beijing, Daniel lives in Helsinki, John lives in Jakarta, Jake lives in Paris and Sebastian lives in Warsaw.	The capital of Joe's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Paris	Warsaw
Rowan lives in Chile, John lives in Beijing, Joe lives in Helsinki, Sebastian lives in Jakarta, Jack lives in Warsaw and Daniel lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Warsaw	Paris
Rowan has a sister and now lives in Chile, John lives in Beijing, Joe lives in Helsinki, Sebastian lives in Jakarta, Jack lives in Warsaw and Daniel lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Warsaw	Paris
Rowan has a sister, played basketball and now lives in Chile, John lives in Beijing, Joe lives in Helsinki, Sebastian lives in Jakarta, Jack lives in Warsaw and Daniel lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Warsaw	Paris
Rowan has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Beijing, Joe lives in Helsinki, Sebastian lives in Jakarta, Jack lives in Warsaw and Daniel lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Helsinki	Jakarta	Warsaw	Paris
Joe lives in Chile, Daniel lives in Beijing, Jack lives in Helsinki, John lives in Warsaw, Jake lives in Paris and Rowan lives in Jakarta.	The capital of Joe's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Paris	Jakarta
Joe has a sister and now lives in Chile, Daniel lives in Beijing, Jack lives in Helsinki, John lives in Warsaw, Jake lives in Paris and Rowan lives in Jakarta.	The capital of Joe's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Paris	Jakarta
Joe has a sister, played basketball and now lives in Chile, Daniel lives in Beijing, Jack lives in Helsinki, John lives in Warsaw, Jake lives in Paris and Rowan lives in Jakarta.	The capital of Joe's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Paris	Jakarta
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Beijing, Jack lives in Helsinki, John lives in Warsaw, Jake lives in Paris and Rowan lives in Jakarta.	The capital of Joe's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Paris	Jakarta
Jake lives in Chile, Joe lives in Beijing, Daniel lives in Helsinki, Jack lives in Warsaw, Rowan lives in Jakarta and John lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Jakarta	Paris
Jake has a sister and now lives in Chile, Joe lives in Beijing, Daniel lives in Helsinki, Jack lives in Warsaw, Rowan lives in Jakarta and John lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Jakarta	Paris
Jake has a sister, played basketball and now lives in Chile, Joe lives in Beijing, Daniel lives in Helsinki, Jack lives in Warsaw, Rowan lives in Jakarta and John lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Jakarta	Paris
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Joe lives in Beijing, Daniel lives in Helsinki, Jack lives in Warsaw, Rowan lives in Jakarta and John lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Beijing	Helsinki	Warsaw	Jakarta	Paris
Sebastian lives in Chile, John lives in Beijing, Jake lives in Paris, Jack lives in Helsinki, Daniel lives in Jakarta and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Jakarta	Warsaw
Sebastian has a sister and now lives in Chile, John lives in Beijing, Jake lives in Paris, Jack lives in Helsinki, Daniel lives in Jakarta and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Jakarta	Warsaw
Sebastian has a sister, played basketball and now lives in Chile, John lives in Beijing, Jake lives in Paris, Jack lives in Helsinki, Daniel lives in Jakarta and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Jakarta	Warsaw
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Beijing, Jake lives in Paris, Jack lives in Helsinki, Daniel lives in Jakarta and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Jakarta	Warsaw
Rowan lives in Chile, Sebastian lives in Beijing, Jack lives in Paris, Jake lives in Helsinki, Joe lives in Warsaw and Daniel lives in Jakarta.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Warsaw	Jakarta
Rowan has a sister and now lives in Chile, Sebastian lives in Beijing, Jack lives in Paris, Jake lives in Helsinki, Joe lives in Warsaw and Daniel lives in Jakarta.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Warsaw	Jakarta
Rowan has a sister, played basketball and now lives in Chile, Sebastian lives in Beijing, Jack lives in Paris, Jake lives in Helsinki, Joe lives in Warsaw and Daniel lives in Jakarta.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Warsaw	Jakarta
Rowan has a sister, played basketball, sang in a choir and now lives in Chile, Sebastian lives in Beijing, Jack lives in Paris, Jake lives in Helsinki, Joe lives in Warsaw and Daniel lives in Jakarta.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Helsinki	Warsaw	Jakarta
Rowan lives in Chile, Daniel lives in Beijing, Sebastian lives in Paris, Jake lives in Jakarta, Jack lives in Helsinki and Joe lives in Warsaw.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Helsinki	Warsaw
Rowan has a sister and now lives in Chile, Daniel lives in Beijing, Sebastian lives in Paris, Jake lives in Jakarta, Jack lives in Helsinki and Joe lives in Warsaw.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Helsinki	Warsaw
Rowan has a sister, played basketball and now lives in Chile, Daniel lives in Beijing, Sebastian lives in Paris, Jake lives in Jakarta, Jack lives in Helsinki and Joe lives in Warsaw.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Helsinki	Warsaw
Rowan has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Beijing, Sebastian lives in Paris, Jake lives in Jakarta, Jack lives in Helsinki and Joe lives in Warsaw.	The capital of Rowan's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Helsinki	Warsaw
Daniel lives in Chile, John lives in Beijing, Jake lives in Paris, Rowan lives in Jakarta, Joe lives in Warsaw and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Warsaw	Helsinki
Daniel has a sister and now lives in Chile, John lives in Beijing, Jake lives in Paris, Rowan lives in Jakarta, Joe lives in Warsaw and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Warsaw	Helsinki
Daniel has a sister, played basketball and now lives in Chile, John lives in Beijing, Jake lives in Paris, Rowan lives in Jakarta, Joe lives in Warsaw and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Warsaw	Helsinki
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Beijing, Jake lives in Paris, Rowan lives in Jakarta, Joe lives in Warsaw and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Paris	Jakarta	Warsaw	Helsinki
Sebastian lives in Chile, Jake lives in Beijing, John lives in Paris, Jack lives in Warsaw, Rowan lives in Helsinki and Joe lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Warsaw	Helsinki	Jakarta
Sebastian has a sister and now lives in Chile, Jake lives in Beijing, John lives in Paris, Jack lives in Warsaw, Rowan lives in Helsinki and Joe lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Warsaw	Helsinki	Jakarta
Sebastian has a sister, played basketball and now lives in Chile, Jake lives in Beijing, John lives in Paris, Jack lives in Warsaw, Rowan lives in Helsinki and Joe lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Warsaw	Helsinki	Jakarta
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Jake lives in Beijing, John lives in Paris, Jack lives in Warsaw, Rowan lives in Helsinki and Joe lives in Jakarta.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Paris	Warsaw	Helsinki	Jakarta
Jack lives in Chile, Jake lives in Beijing, Rowan lives in Paris, Sebastian lives in Warsaw, John lives in Jakarta and Joe lives in Helsinki.	The capital of Jack's country is [MASK].	Santiago	Beijing	Paris	Warsaw	Jakarta	Helsinki
Jack has a sister and now lives in Chile, Jake lives in Beijing, Rowan lives in Paris, Sebastian lives in Warsaw, John lives in Jakarta and Joe lives in Helsinki.	The capital of Jack's country is [MASK].	Santiago	Beijing	Paris	Warsaw	Jakarta	Helsinki
Jack has a sister, played basketball and now lives in Chile, Jake lives in Beijing, Rowan lives in Paris, Sebastian lives in Warsaw, John lives in Jakarta and Joe lives in Helsinki.	The capital of Jack's country is [MASK].	Santiago	Beijing	Paris	Warsaw	Jakarta	Helsinki
Jack has a sister, played basketball, sang in a choir and now lives in Chile, Jake lives in Beijing, Rowan lives in Paris, Sebastian lives in Warsaw, John lives in Jakarta and Joe lives in Helsinki.	The capital of Jack's country is [MASK].	Santiago	Beijing	Paris	Warsaw	Jakarta	Helsinki
Daniel lives in Chile, John lives in Beijing, Jake lives in Jakarta, Joe lives in Helsinki, Jack lives in Paris and Rowan lives in Warsaw.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Jakarta	Helsinki	Paris	Warsaw
Daniel has a sister and now lives in Chile, John lives in Beijing, Jake lives in Jakarta, Joe lives in Helsinki, Jack lives in Paris and Rowan lives in Warsaw.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Jakarta	Helsinki	Paris	Warsaw
Daniel has a sister, played basketball and now lives in Chile, John lives in Beijing, Jake lives in Jakarta, Joe lives in Helsinki, Jack lives in Paris and Rowan lives in Warsaw.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Jakarta	Helsinki	Paris	Warsaw
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Beijing, Jake lives in Jakarta, Joe lives in Helsinki, Jack lives in Paris and Rowan lives in Warsaw.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Jakarta	Helsinki	Paris	Warsaw
Daniel lives in Chile, Sebastian lives in Beijing, Rowan lives in Jakarta, Jack lives in Helsinki, Jake lives in Warsaw and Joe lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Jakarta	Helsinki	Warsaw	Paris
Daniel has a sister and now lives in Chile, Sebastian lives in Beijing, Rowan lives in Jakarta, Jack lives in Helsinki, Jake lives in Warsaw and Joe lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Jakarta	Helsinki	Warsaw	Paris
Daniel has a sister, played basketball and now lives in Chile, Sebastian lives in Beijing, Rowan lives in Jakarta, Jack lives in Helsinki, Jake lives in Warsaw and Joe lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Jakarta	Helsinki	Warsaw	Paris
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, Sebastian lives in Beijing, Rowan lives in Jakarta, Jack lives in Helsinki, Jake lives in Warsaw and Joe lives in Paris.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Jakarta	Helsinki	Warsaw	Paris
Sebastian lives in Chile, John lives in Beijing, Joe lives in Jakarta, Rowan lives in Paris, Daniel lives in Helsinki and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Jakarta	Paris	Helsinki	Warsaw
Sebastian has a sister and now lives in Chile, John lives in Beijing, Joe lives in Jakarta, Rowan lives in Paris, Daniel lives in Helsinki and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Jakarta	Paris	Helsinki	Warsaw
Sebastian has a sister, played basketball and now lives in Chile, John lives in Beijing, Joe lives in Jakarta, Rowan lives in Paris, Daniel lives in Helsinki and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Jakarta	Paris	Helsinki	Warsaw
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Beijing, Joe lives in Jakarta, Rowan lives in Paris, Daniel lives in Helsinki and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Jakarta	Paris	Helsinki	Warsaw
Jack lives in Chile, Rowan lives in Beijing, Joe lives in Jakarta, Daniel lives in Paris, Sebastian lives in Warsaw and John lives in Helsinki.	The capital of Jack's country is [MASK].	Santiago	Beijing	Jakarta	Paris	Warsaw	Helsinki
Jack has a sister and now lives in Chile, Rowan lives in Beijing, Joe lives in Jakarta, Daniel lives in Paris, Sebastian lives in Warsaw and John lives in Helsinki.	The capital of Jack's country is [MASK].	Santiago	Beijing	Jakarta	Paris	Warsaw	Helsinki
Jack has a sister, played basketball and now lives in Chile, Rowan lives in Beijing, Joe lives in Jakarta, Daniel lives in Paris, Sebastian lives in Warsaw and John lives in Helsinki.	The capital of Jack's country is [MASK].	Santiago	Beijing	Jakarta	Paris	Warsaw	Helsinki
Jack has a sister, played basketball, sang in a choir and now lives in Chile, Rowan lives in Beijing, Joe lives in Jakarta, Daniel lives in Paris, Sebastian lives in Warsaw and John lives in Helsinki.	The capital of Jack's country is [MASK].	Santiago	Beijing	Jakarta	Paris	Warsaw	Helsinki
Jack lives in Chile, John lives in Beijing, Rowan lives in Jakarta, Sebastian lives in Warsaw, Joe lives in Helsinki and Daniel lives in Paris.	The capital of Jack's country is [MASK].	Santiago	Beijing	Jakarta	Warsaw	Helsinki	Paris
Jack has a sister and now lives in Chile, John lives in Beijing, Rowan lives in Jakarta, Sebastian lives in Warsaw, Joe lives in Helsinki and Daniel lives in Paris.	The capital of Jack's country is [MASK].	Santiago	Beijing	Jakarta	Warsaw	Helsinki	Paris
Jack has a sister, played basketball and now lives in Chile, John lives in Beijing, Rowan lives in Jakarta, Sebastian lives in Warsaw, Joe lives in Helsinki and Daniel lives in Paris.	The capital of Jack's country is [MASK].	Santiago	Beijing	Jakarta	Warsaw	Helsinki	Paris
Jack has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Beijing, Rowan lives in Jakarta, Sebastian lives in Warsaw, Joe lives in Helsinki and Daniel lives in Paris.	The capital of Jack's country is [MASK].	Santiago	Beijing	Jakarta	Warsaw	Helsinki	Paris
Joe lives in Chile, Rowan lives in Beijing, John lives in Jakarta, Sebastian lives in Warsaw, Jack lives in Paris and Jake lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Beijing	Jakarta	Warsaw	Paris	Helsinki
Joe has a sister and now lives in Chile, Rowan lives in Beijing, John lives in Jakarta, Sebastian lives in Warsaw, Jack lives in Paris and Jake lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Beijing	Jakarta	Warsaw	Paris	Helsinki
Joe has a sister, played basketball and now lives in Chile, Rowan lives in Beijing, John lives in Jakarta, Sebastian lives in Warsaw, Jack lives in Paris and Jake lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Beijing	Jakarta	Warsaw	Paris	Helsinki
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Rowan lives in Beijing, John lives in Jakarta, Sebastian lives in Warsaw, Jack lives in Paris and Jake lives in Helsinki.	The capital of Joe's country is [MASK].	Santiago	Beijing	Jakarta	Warsaw	Paris	Helsinki
John lives in Chile, Jake lives in Beijing, Daniel lives in Warsaw, Rowan lives in Helsinki, Sebastian lives in Paris and Joe lives in Jakarta.	The capital of John's country is [MASK].	Santiago	Beijing	Warsaw	Helsinki	Paris	Jakarta
John has a sister and now lives in Chile, Jake lives in Beijing, Daniel lives in Warsaw, Rowan lives in Helsinki, Sebastian lives in Paris and Joe lives in Jakarta.	The capital of John's country is [MASK].	Santiago	Beijing	Warsaw	Helsinki	Paris	Jakarta
John has a sister, played basketball and now lives in Chile, Jake lives in Beijing, Daniel lives in Warsaw, Rowan lives in Helsinki, Sebastian lives in Paris and Joe lives in Jakarta.	The capital of John's country is [MASK].	Santiago	Beijing	Warsaw	Helsinki	Paris	Jakarta
John has a sister, played basketball, sang in a choir and now lives in Chile, Jake lives in Beijing, Daniel lives in Warsaw, Rowan lives in Helsinki, Sebastian lives in Paris and Joe lives in Jakarta.	The capital of John's country is [MASK].	Santiago	Beijing	Warsaw	Helsinki	Paris	Jakarta
Jake lives in Chile, John lives in Beijing, Sebastian lives in Warsaw, Rowan lives in Helsinki, Daniel lives in Jakarta and Jack lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Helsinki	Jakarta	Paris
Jake has a sister and now lives in Chile, John lives in Beijing, Sebastian lives in Warsaw, Rowan lives in Helsinki, Daniel lives in Jakarta and Jack lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Helsinki	Jakarta	Paris
Jake has a sister, played basketball and now lives in Chile, John lives in Beijing, Sebastian lives in Warsaw, Rowan lives in Helsinki, Daniel lives in Jakarta and Jack lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Helsinki	Jakarta	Paris
Jake has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Beijing, Sebastian lives in Warsaw, Rowan lives in Helsinki, Daniel lives in Jakarta and Jack lives in Paris.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Helsinki	Jakarta	Paris
Jake lives in Chile, Rowan lives in Beijing, Daniel lives in Warsaw, Joe lives in Paris, Sebastian lives in Helsinki and John lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Paris	Helsinki	Jakarta
Jake has a sister and now lives in Chile, Rowan lives in Beijing, Daniel lives in Warsaw, Joe lives in Paris, Sebastian lives in Helsinki and John lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Paris	Helsinki	Jakarta
Jake has a sister, played basketball and now lives in Chile, Rowan lives in Beijing, Daniel lives in Warsaw, Joe lives in Paris, Sebastian lives in Helsinki and John lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Paris	Helsinki	Jakarta
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Rowan lives in Beijing, Daniel lives in Warsaw, Joe lives in Paris, Sebastian lives in Helsinki and John lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Beijing	Warsaw	Paris	Helsinki	Jakarta
Daniel lives in Chile, John lives in Beijing, Rowan lives in Warsaw, Sebastian lives in Paris, Joe lives in Jakarta and Jake lives in Helsinki.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Warsaw	Paris	Jakarta	Helsinki
Daniel has a sister and now lives in Chile, John lives in Beijing, Rowan lives in Warsaw, Sebastian lives in Paris, Joe lives in Jakarta and Jake lives in Helsinki.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Warsaw	Paris	Jakarta	Helsinki
Daniel has a sister, played basketball and now lives in Chile, John lives in Beijing, Rowan lives in Warsaw, Sebastian lives in Paris, Joe lives in Jakarta and Jake lives in Helsinki.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Warsaw	Paris	Jakarta	Helsinki
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Beijing, Rowan lives in Warsaw, Sebastian lives in Paris, Joe lives in Jakarta and Jake lives in Helsinki.	The capital of Daniel's country is [MASK].	Santiago	Beijing	Warsaw	Paris	Jakarta	Helsinki
Joe lives in Chile, Jack lives in Beijing, Sebastian lives in Warsaw, John lives in Jakarta, Daniel lives in Helsinki and Jake lives in Paris.	The capital of Joe's country is [MASK].	Santiago	Beijing	Warsaw	Jakarta	Helsinki	Paris
Joe has a sister and now lives in Chile, Jack lives in Beijing, Sebastian lives in Warsaw, John lives in Jakarta, Daniel lives in Helsinki and Jake lives in Paris.	The capital of Joe's country is [MASK].	Santiago	Beijing	Warsaw	Jakarta	Helsinki	Paris
Joe has a sister, played basketball and now lives in Chile, Jack lives in Beijing, Sebastian lives in Warsaw, John lives in Jakarta, Daniel lives in Helsinki and Jake lives in Paris.	The capital of Joe's country is [MASK].	Santiago	Beijing	Warsaw	Jakarta	Helsinki	Paris
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Beijing, Sebastian lives in Warsaw, John lives in Jakarta, Daniel lives in Helsinki and Jake lives in Paris.	The capital of Joe's country is [MASK].	Santiago	Beijing	Warsaw	Jakarta	Helsinki	Paris
Sebastian lives in Chile, Rowan lives in Beijing, Joe lives in Warsaw, John lives in Jakarta, Jack lives in Paris and Daniel lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Warsaw	Jakarta	Paris	Helsinki
Sebastian has a sister and now lives in Chile, Rowan lives in Beijing, Joe lives in Warsaw, John lives in Jakarta, Jack lives in Paris and Daniel lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Warsaw	Jakarta	Paris	Helsinki
Sebastian has a sister, played basketball and now lives in Chile, Rowan lives in Beijing, Joe lives in Warsaw, John lives in Jakarta, Jack lives in Paris and Daniel lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Warsaw	Jakarta	Paris	Helsinki
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Rowan lives in Beijing, Joe lives in Warsaw, John lives in Jakarta, Jack lives in Paris and Daniel lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Beijing	Warsaw	Jakarta	Paris	Helsinki
Jake lives in Chile, John lives in Helsinki, Sebastian lives in Beijing, Daniel lives in Paris, Rowan lives in Jakarta and Joe lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Beijing	Paris	Jakarta	Warsaw
Jake has a sister and now lives in Chile, John lives in Helsinki, Sebastian lives in Beijing, Daniel lives in Paris, Rowan lives in Jakarta and Joe lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Beijing	Paris	Jakarta	Warsaw
Jake has a sister, played basketball and now lives in Chile, John lives in Helsinki, Sebastian lives in Beijing, Daniel lives in Paris, Rowan lives in Jakarta and Joe lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Beijing	Paris	Jakarta	Warsaw
Jake has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Helsinki, Sebastian lives in Beijing, Daniel lives in Paris, Rowan lives in Jakarta and Joe lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Beijing	Paris	Jakarta	Warsaw
Jack lives in Chile, John lives in Helsinki, Jake lives in Beijing, Rowan lives in Paris, Sebastian lives in Warsaw and Daniel lives in Jakarta.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Beijing	Paris	Warsaw	Jakarta
Jack has a sister and now lives in Chile, John lives in Helsinki, Jake lives in Beijing, Rowan lives in Paris, Sebastian lives in Warsaw and Daniel lives in Jakarta.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Beijing	Paris	Warsaw	Jakarta
Jack has a sister, played basketball and now lives in Chile, John lives in Helsinki, Jake lives in Beijing, Rowan lives in Paris, Sebastian lives in Warsaw and Daniel lives in Jakarta.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Beijing	Paris	Warsaw	Jakarta
Jack has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Helsinki, Jake lives in Beijing, Rowan lives in Paris, Sebastian lives in Warsaw and Daniel lives in Jakarta.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Beijing	Paris	Warsaw	Jakarta
Jake lives in Chile, Rowan lives in Helsinki, John lives in Beijing, Daniel lives in Jakarta, Sebastian lives in Paris and Jack lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Beijing	Jakarta	Paris	Warsaw
Jake has a sister and now lives in Chile, Rowan lives in Helsinki, John lives in Beijing, Daniel lives in Jakarta, Sebastian lives in Paris and Jack lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Beijing	Jakarta	Paris	Warsaw
Jake has a sister, played basketball and now lives in Chile, Rowan lives in Helsinki, John lives in Beijing, Daniel lives in Jakarta, Sebastian lives in Paris and Jack lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Beijing	Jakarta	Paris	Warsaw
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Rowan lives in Helsinki, John lives in Beijing, Daniel lives in Jakarta, Sebastian lives in Paris and Jack lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Beijing	Jakarta	Paris	Warsaw
Rowan lives in Chile, Joe lives in Helsinki, John lives in Beijing, Sebastian lives in Jakarta, Jack lives in Warsaw and Daniel lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Helsinki	Beijing	Jakarta	Warsaw	Paris
