context	ending	target_occupation	attractor_1	attractor_2
Jack has a sister, played basketball and now lives in Chile, John lives in Helsinki and Jake lives in Paris.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Paris
Jack has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Helsinki and Jake lives in Paris.	The capital of Jack's country is [MASK].	Santiago	Helsinki	Paris
Jake lives in Chile, Rowan lives in Helsinki and Daniel lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Jakarta
Jake has a sister and now lives in Chile, Rowan lives in Helsinki and Daniel lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Jakarta
Jake has a sister, played basketball and now lives in Chile, Rowan lives in Helsinki and Daniel lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Jakarta
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Rowan lives in Helsinki and Daniel lives in Jakarta.	The capital of Jake's country is [MASK].	Santiago	Helsinki	Jakarta
Sebastian lives in Chile, Daniel lives in Helsinki and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Helsinki	Warsaw
Sebastian has a sister and now lives in Chile, Daniel lives in Helsinki and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Helsinki	Warsaw
Sebastian has a sister, played basketball and now lives in Chile, Daniel lives in Helsinki and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Helsinki	Warsaw
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Helsinki and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Santiago	Helsinki	Warsaw
Jake lives in Chile, Jack lives in Paris and John lives in Beijing.	The capital of Jake's country is [MASK].	Santiago	Paris	Beijing
Jake has a sister and now lives in Chile, Jack lives in Paris and John lives in Beijing.	The capital of Jake's country is [MASK].	Santiago	Paris	Beijing
Jake has a sister, played basketball and now lives in Chile, Jack lives in Paris and John lives in Beijing.	The capital of Jake's country is [MASK].	Santiago	Paris	Beijing
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Paris and John lives in Beijing.	The capital of Jake's country is [MASK].	Santiago	Paris	Beijing
Sebastian lives in Chile, Daniel lives in Paris and Jake lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Paris	Helsinki
Sebastian has a sister and now lives in Chile, Daniel lives in Paris and Jake lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Paris	Helsinki
Sebastian has a sister, played basketball and now lives in Chile, Daniel lives in Paris and Jake lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Paris	Helsinki
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Paris and Jake lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Paris	Helsinki
John lives in Chile, Joe lives in Paris and Rowan lives in Jakarta.	The capital of John's country is [MASK].	Santiago	Paris	Jakarta
John has a sister and now lives in Chile, Joe lives in Paris and Rowan lives in Jakarta.	The capital of John's country is [MASK].	Santiago	Paris	Jakarta
John has a sister, played basketball and now lives in Chile, Joe lives in Paris and Rowan lives in Jakarta.	The capital of John's country is [MASK].	Santiago	Paris	Jakarta
John has a sister, played basketball, sang in a choir and now lives in Chile, Joe lives in Paris and Rowan lives in Jakarta.	The capital of John's country is [MASK].	Santiago	Paris	Jakarta
Jake lives in Chile, Jack lives in Paris and Rowan lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Paris	Warsaw
Jake has a sister and now lives in Chile, Jack lives in Paris and Rowan lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Paris	Warsaw
Jake has a sister, played basketball and now lives in Chile, Jack lives in Paris and Rowan lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Paris	Warsaw
Jake has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Paris and Rowan lives in Warsaw.	The capital of Jake's country is [MASK].	Santiago	Paris	Warsaw
Joe lives in Chile, Daniel lives in Jakarta and Jake lives in Beijing.	The capital of Joe's country is [MASK].	Santiago	Jakarta	Beijing
Joe has a sister and now lives in Chile, Daniel lives in Jakarta and Jake lives in Beijing.	The capital of Joe's country is [MASK].	Santiago	Jakarta	Beijing
Joe has a sister, played basketball and now lives in Chile, Daniel lives in Jakarta and Jake lives in Beijing.	The capital of Joe's country is [MASK].	Santiago	Jakarta	Beijing
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Jakarta and Jake lives in Beijing.	The capital of Joe's country is [MASK].	Santiago	Jakarta	Beijing
Sebastian lives in Chile, Daniel lives in Jakarta and Rowan lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Jakarta	Helsinki
Sebastian has a sister and now lives in Chile, Daniel lives in Jakarta and Rowan lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Jakarta	Helsinki
Sebastian has a sister, played basketball and now lives in Chile, Daniel lives in Jakarta and Rowan lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Jakarta	Helsinki
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Jakarta and Rowan lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Jakarta	Helsinki
Rowan lives in Chile, Jack lives in Jakarta and Joe lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Jakarta	Paris
Rowan has a sister and now lives in Chile, Jack lives in Jakarta and Joe lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Jakarta	Paris
Rowan has a sister, played basketball and now lives in Chile, Jack lives in Jakarta and Joe lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Jakarta	Paris
Rowan has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Jakarta and Joe lives in Paris.	The capital of Rowan's country is [MASK].	Santiago	Jakarta	Paris
Jack lives in Chile, John lives in Jakarta and Jake lives in Warsaw.	The capital of Jack's country is [MASK].	Santiago	Jakarta	Warsaw
Jack has a sister and now lives in Chile, John lives in Jakarta and Jake lives in Warsaw.	The capital of Jack's country is [MASK].	Santiago	Jakarta	Warsaw
Jack has a sister, played basketball and now lives in Chile, John lives in Jakarta and Jake lives in Warsaw.	The capital of Jack's country is [MASK].	Santiago	Jakarta	Warsaw
Jack has a sister, played basketball, sang in a choir and now lives in Chile, John lives in Jakarta and Jake lives in Warsaw.	The capital of Jack's country is [MASK].	Santiago	Jakarta	Warsaw
Daniel lives in Chile, Jack lives in Warsaw and Rowan lives in Beijing.	The capital of Daniel's country is [MASK].	Santiago	Warsaw	Beijing
Daniel has a sister and now lives in Chile, Jack lives in Warsaw and Rowan lives in Beijing.	The capital of Daniel's country is [MASK].	Santiago	Warsaw	Beijing
Daniel has a sister, played basketball and now lives in Chile, Jack lives in Warsaw and Rowan lives in Beijing.	The capital of Daniel's country is [MASK].	Santiago	Warsaw	Beijing
Daniel has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Warsaw and Rowan lives in Beijing.	The capital of Daniel's country is [MASK].	Santiago	Warsaw	Beijing
Sebastian lives in Chile, Jack lives in Warsaw and Joe lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Warsaw	Helsinki
Sebastian has a sister and now lives in Chile, Jack lives in Warsaw and Joe lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Warsaw	Helsinki
Sebastian has a sister, played basketball and now lives in Chile, Jack lives in Warsaw and Joe lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Warsaw	Helsinki
Sebastian has a sister, played basketball, sang in a choir and now lives in Chile, Jack lives in Warsaw and Joe lives in Helsinki.	The capital of Sebastian's country is [MASK].	Santiago	Warsaw	Helsinki
Joe lives in Chile, Rowan lives in Warsaw and John lives in Paris.	The capital of Joe's country is [MASK].	Santiago	Warsaw	Paris
Joe has a sister and now lives in Chile, Rowan lives in Warsaw and John lives in Paris.	The capital of Joe's country is [MASK].	Santiago	Warsaw	Paris
Joe has a sister, played basketball and now lives in Chile, Rowan lives in Warsaw and John lives in Paris.	The capital of Joe's country is [MASK].	Santiago	Warsaw	Paris
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Rowan lives in Warsaw and John lives in Paris.	The capital of Joe's country is [MASK].	Santiago	Warsaw	Paris
Joe lives in Chile, Daniel lives in Warsaw and Jack lives in Jakarta.	The capital of Joe's country is [MASK].	Santiago	Warsaw	Jakarta
Joe has a sister and now lives in Chile, Daniel lives in Warsaw and Jack lives in Jakarta.	The capital of Joe's country is [MASK].	Santiago	Warsaw	Jakarta
Joe has a sister, played basketball and now lives in Chile, Daniel lives in Warsaw and Jack lives in Jakarta.	The capital of Joe's country is [MASK].	Santiago	Warsaw	Jakarta
Joe has a sister, played basketball, sang in a choir and now lives in Chile, Daniel lives in Warsaw and Jack lives in Jakarta.	The capital of Joe's country is [MASK].	Santiago	Warsaw	Jakarta
Sebastian lives in China, Jake lives in Santiago and Rowan lives in Helsinki.	The capital of Sebastian's country is [MASK].	Beijing	Santiago	Helsinki
Sebastian has a sister and now lives in China, Jake lives in Santiago and Rowan lives in Helsinki.	The capital of Sebastian's country is [MASK].	Beijing	Santiago	Helsinki
Sebastian has a sister, played basketball and now lives in China, Jake lives in Santiago and Rowan lives in Helsinki.	The capital of Sebastian's country is [MASK].	Beijing	Santiago	Helsinki
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Santiago and Rowan lives in Helsinki.	The capital of Sebastian's country is [MASK].	Beijing	Santiago	Helsinki
Sebastian lives in China, Daniel lives in Santiago and Jack lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Santiago	Paris
Sebastian has a sister and now lives in China, Daniel lives in Santiago and Jack lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Santiago	Paris
Sebastian has a sister, played basketball and now lives in China, Daniel lives in Santiago and Jack lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Santiago	Paris
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Santiago and Jack lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Santiago	Paris
Jack lives in China, Jake lives in Santiago and Rowan lives in Jakarta.	The capital of Jack's country is [MASK].	Beijing	Santiago	Jakarta
Jack has a sister and now lives in China, Jake lives in Santiago and Rowan lives in Jakarta.	The capital of Jack's country is [MASK].	Beijing	Santiago	Jakarta
Jack has a sister, played basketball and now lives in China, Jake lives in Santiago and Rowan lives in Jakarta.	The capital of Jack's country is [MASK].	Beijing	Santiago	Jakarta
Jack has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Santiago and Rowan lives in Jakarta.	The capital of Jack's country is [MASK].	Beijing	Santiago	Jakarta
Sebastian lives in China, Daniel lives in Santiago and Jack lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Santiago	Warsaw
Sebastian has a sister and now lives in China, Daniel lives in Santiago and Jack lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Santiago	Warsaw
Sebastian has a sister, played basketball and now lives in China, Daniel lives in Santiago and Jack lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Santiago	Warsaw
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Santiago and Jack lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Santiago	Warsaw
Jack lives in China, John lives in Helsinki and Joe lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Santiago
Jack has a sister and now lives in China, John lives in Helsinki and Joe lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Santiago
Jack has a sister, played basketball and now lives in China, John lives in Helsinki and Joe lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Santiago
Jack has a sister, played basketball, sang in a choir and now lives in China, John lives in Helsinki and Joe lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Santiago
Jake lives in China, Jack lives in Helsinki and Daniel lives in Paris.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Paris
Jake has a sister and now lives in China, Jack lives in Helsinki and Daniel lives in Paris.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Paris
Jake has a sister, played basketball and now lives in China, Jack lives in Helsinki and Daniel lives in Paris.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Paris
Jake has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Helsinki and Daniel lives in Paris.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Paris
Rowan lives in China, Sebastian lives in Helsinki and John lives in Jakarta.	The capital of Rowan's country is [MASK].	Beijing	Helsinki	Jakarta
Rowan has a sister and now lives in China, Sebastian lives in Helsinki and John lives in Jakarta.	The capital of Rowan's country is [MASK].	Beijing	Helsinki	Jakarta
Rowan has a sister, played basketball and now lives in China, Sebastian lives in Helsinki and John lives in Jakarta.	The capital of Rowan's country is [MASK].	Beijing	Helsinki	Jakarta
Rowan has a sister, played basketball, sang in a choir and now lives in China, Sebastian lives in Helsinki and John lives in Jakarta.	The capital of Rowan's country is [MASK].	Beijing	Helsinki	Jakarta
Rowan lives in China, Joe lives in Helsinki and Daniel lives in Warsaw.	The capital of Rowan's country is [MASK].	Beijing	Helsinki	Warsaw
Rowan has a sister and now lives in China, Joe lives in Helsinki and Daniel lives in Warsaw.	The capital of Rowan's country is [MASK].	Beijing	Helsinki	Warsaw
Rowan has a sister, played basketball and now lives in China, Joe lives in Helsinki and Daniel lives in Warsaw.	The capital of Rowan's country is [MASK].	Beijing	Helsinki	Warsaw
Rowan has a sister, played basketball, sang in a choir and now lives in China, Joe lives in Helsinki and Daniel lives in Warsaw.	The capital of Rowan's country is [MASK].	Beijing	Helsinki	Warsaw
Rowan lives in China, Sebastian lives in Paris and Jake lives in Santiago.	The capital of Rowan's country is [MASK].	Beijing	Paris	Santiago
Rowan has a sister and now lives in China, Sebastian lives in Paris and Jake lives in Santiago.	The capital of Rowan's country is [MASK].	Beijing	Paris	Santiago
Rowan has a sister, played basketball and now lives in China, Sebastian lives in Paris and Jake lives in Santiago.	The capital of Rowan's country is [MASK].	Beijing	Paris	Santiago
Rowan has a sister, played basketball, sang in a choir and now lives in China, Sebastian lives in Paris and Jake lives in Santiago.	The capital of Rowan's country is [MASK].	Beijing	Paris	Santiago
Jack lives in China, John lives in Paris and Joe lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Paris	Helsinki
Jack has a sister and now lives in China, John lives in Paris and Joe lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Paris	Helsinki
Jack has a sister, played basketball and now lives in China, John lives in Paris and Joe lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Paris	Helsinki
Jack has a sister, played basketball, sang in a choir and now lives in China, John lives in Paris and Joe lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Paris	Helsinki
Joe lives in China, Rowan lives in Paris and Sebastian lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Paris	Jakarta
Joe has a sister and now lives in China, Rowan lives in Paris and Sebastian lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Paris	Jakarta
Joe has a sister, played basketball and now lives in China, Rowan lives in Paris and Sebastian lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Paris	Jakarta
Joe has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Paris and Sebastian lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Paris	Jakarta
Joe lives in China, John lives in Paris and Jake lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Paris	Warsaw
Joe has a sister and now lives in China, John lives in Paris and Jake lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Paris	Warsaw
Joe has a sister, played basketball and now lives in China, John lives in Paris and Jake lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Paris	Warsaw
Joe has a sister, played basketball, sang in a choir and now lives in China, John lives in Paris and Jake lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Paris	Warsaw
Jack lives in China, Sebastian lives in Jakarta and John lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Santiago
Jack has a sister and now lives in China, Sebastian lives in Jakarta and John lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Santiago
Jack has a sister, played basketball and now lives in China, Sebastian lives in Jakarta and John lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Santiago
Jack has a sister, played basketball, sang in a choir and now lives in China, Sebastian lives in Jakarta and John lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Santiago
Rowan lives in China, Jack lives in Jakarta and Sebastian lives in Helsinki.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Helsinki
Rowan has a sister and now lives in China, Jack lives in Jakarta and Sebastian lives in Helsinki.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Helsinki
Rowan has a sister, played basketball and now lives in China, Jack lives in Jakarta and Sebastian lives in Helsinki.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Helsinki
Rowan has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Jakarta and Sebastian lives in Helsinki.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Helsinki
Rowan lives in China, Joe lives in Jakarta and Jake lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Paris
Rowan has a sister and now lives in China, Joe lives in Jakarta and Jake lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Paris
Rowan has a sister, played basketball and now lives in China, Joe lives in Jakarta and Jake lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Paris
Rowan has a sister, played basketball, sang in a choir and now lives in China, Joe lives in Jakarta and Jake lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Paris
John lives in China, Daniel lives in Jakarta and Sebastian lives in Warsaw.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw
John has a sister and now lives in China, Daniel lives in Jakarta and Sebastian lives in Warsaw.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw
John has a sister, played basketball and now lives in China, Daniel lives in Jakarta and Sebastian lives in Warsaw.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw
John has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Jakarta and Sebastian lives in Warsaw.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw
Jake lives in China, John lives in Warsaw and Rowan lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Santiago
Jake has a sister and now lives in China, John lives in Warsaw and Rowan lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Santiago
Jake has a sister, played basketball and now lives in China, John lives in Warsaw and Rowan lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Santiago
Jake has a sister, played basketball, sang in a choir and now lives in China, John lives in Warsaw and Rowan lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Santiago
Daniel lives in China, Rowan lives in Warsaw and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Helsinki
Daniel has a sister and now lives in China, Rowan lives in Warsaw and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Helsinki
Daniel has a sister, played basketball and now lives in China, Rowan lives in Warsaw and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Helsinki
Daniel has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Warsaw and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Helsinki
Jake lives in China, Jack lives in Warsaw and John lives in Paris.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Paris
Jake has a sister and now lives in China, Jack lives in Warsaw and John lives in Paris.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Paris
Jake has a sister, played basketball and now lives in China, Jack lives in Warsaw and John lives in Paris.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Paris
Jake has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Warsaw and John lives in Paris.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Paris
Rowan lives in China, Jack lives in Warsaw and Jake lives in Jakarta.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Jakarta
Rowan has a sister and now lives in China, Jack lives in Warsaw and Jake lives in Jakarta.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Jakarta
Rowan has a sister, played basketball and now lives in China, Jack lives in Warsaw and Jake lives in Jakarta.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Jakarta
Rowan has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Warsaw and Jake lives in Jakarta.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Jakarta
Jake lives in Finland, Jack lives in Santiago and Rowan lives in Beijing.	The capital of Jake's country is [MASK].	Helsinki	Santiago	Beijing
Jake has a sister and now lives in Finland, Jack lives in Santiago and Rowan lives in Beijing.	The capital of Jake's country is [MASK].	Helsinki	Santiago	Beijing
Jake has a sister, played basketball and now lives in Finland, Jack lives in Santiago and Rowan lives in Beijing.	The capital of Jake's country is [MASK].	Helsinki	Santiago	Beijing
Jake has a sister, played basketball, sang in a choir and now lives in Finland, Jack lives in Santiago and Rowan lives in Beijing.	The capital of Jake's country is [MASK].	Helsinki	Santiago	Beijing
John lives in Finland, Joe lives in Santiago and Sebastian lives in Paris.	The capital of John's country is [MASK].	Helsinki	Santiago	Paris
John has a sister and now lives in Finland, Joe lives in Santiago and Sebastian lives in Paris.	The capital of John's country is [MASK].	Helsinki	Santiago	Paris
John has a sister, played basketball and now lives in Finland, Joe lives in Santiago and Sebastian lives in Paris.	The capital of John's country is [MASK].	Helsinki	Santiago	Paris
John has a sister, played basketball, sang in a choir and now lives in Finland, Joe lives in Santiago and Sebastian lives in Paris.	The capital of John's country is [MASK].	Helsinki	Santiago	Paris
John lives in Finland, Joe lives in Santiago and Daniel lives in Jakarta.	The capital of John's country is [MASK].	Helsinki	Santiago	Jakarta
John has a sister and now lives in Finland, Joe lives in Santiago and Daniel lives in Jakarta.	The capital of John's country is [MASK].	Helsinki	Santiago	Jakarta
John has a sister, played basketball and now lives in Finland, Joe lives in Santiago and Daniel lives in Jakarta.	The capital of John's country is [MASK].	Helsinki	Santiago	Jakarta
John has a sister, played basketball, sang in a choir and now lives in Finland, Joe lives in Santiago and Daniel lives in Jakarta.	The capital of John's country is [MASK].	Helsinki	Santiago	Jakarta
Jake lives in Finland, Daniel lives in Santiago and Rowan lives in Warsaw.	The capital of Jake's country is [MASK].	Helsinki	Santiago	Warsaw
Jake has a sister and now lives in Finland, Daniel lives in Santiago and Rowan lives in Warsaw.	The capital of Jake's country is [MASK].	Helsinki	Santiago	Warsaw
Jake has a sister, played basketball and now lives in Finland, Daniel lives in Santiago and Rowan lives in Warsaw.	The capital of Jake's country is [MASK].	Helsinki	Santiago	Warsaw
Jake has a sister, played basketball, sang in a choir and now lives in Finland, Daniel lives in Santiago and Rowan lives in Warsaw.	The capital of Jake's country is [MASK].	Helsinki	Santiago	Warsaw
Daniel lives in Finland, Jake lives in Beijing and Joe lives in Santiago.	The capital of Daniel's country is [MASK].	Helsinki	Beijing	Santiago
Daniel has a sister and now lives in Finland, Jake lives in Beijing and Joe lives in Santiago.	The capital of Daniel's country is [MASK].	Helsinki	Beijing	Santiago
Daniel has a sister, played basketball and now lives in Finland, Jake lives in Beijing and Joe lives in Santiago.	The capital of Daniel's country is [MASK].	Helsinki	Beijing	Santiago
Daniel has a sister, played basketball, sang in a choir and now lives in Finland, Jake lives in Beijing and Joe lives in Santiago.	The capital of Daniel's country is [MASK].	Helsinki	Beijing	Santiago
John lives in Finland, Rowan lives in Beijing and Joe lives in Paris.	The capital of John's country is [MASK].	Helsinki	Beijing	Paris
John has a sister and now lives in Finland, Rowan lives in Beijing and Joe lives in Paris.	The capital of John's country is [MASK].	Helsinki	Beijing	Paris
John has a sister, played basketball and now lives in Finland, Rowan lives in Beijing and Joe lives in Paris.	The capital of John's country is [MASK].	Helsinki	Beijing	Paris
John has a sister, played basketball, sang in a choir and now lives in Finland, Rowan lives in Beijing and Joe lives in Paris.	The capital of John's country is [MASK].	Helsinki	Beijing	Paris
Jack lives in Finland, Rowan lives in Beijing and Sebastian lives in Jakarta.	The capital of Jack's country is [MASK].	Helsinki	Beijing	Jakarta
Jack has a sister and now lives in Finland, Rowan lives in Beijing and Sebastian lives in Jakarta.	The capital of Jack's country is [MASK].	Helsinki	Beijing	Jakarta
Jack has a sister, played basketball and now lives in Finland, Rowan lives in Beijing and Sebastian lives in Jakarta.	The capital of Jack's country is [MASK].	Helsinki	Beijing	Jakarta
