context	ending	target_occupation	attractor_1
Daniel lives in Indonesia and Joe lives in Santiago.	The capital of Daniel's country is [MASK].	Jakarta	Santiago
Daniel has a sister and now lives in Indonesia and Joe lives in Santiago.	The capital of Daniel's country is [MASK].	Jakarta	Santiago
Daniel has a sister, played basketball and now lives in Indonesia and Joe lives in Santiago.	The capital of Daniel's country is [MASK].	Jakarta	Santiago
Daniel has a sister, played basketball, sang in a choir and now lives in Indonesia and Joe lives in Santiago.	The capital of Daniel's country is [MASK].	Jakarta	Santiago
Jack lives in Indonesia and Daniel lives in Beijing.	The capital of Jack's country is [MASK].	Jakarta	Beijing
Jack has a sister and now lives in Indonesia and Daniel lives in Beijing.	The capital of Jack's country is [MASK].	Jakarta	Beijing
Jack has a sister, played basketball and now lives in Indonesia and Daniel lives in Beijing.	The capital of Jack's country is [MASK].	Jakarta	Beijing
Jack has a sister, played basketball, sang in a choir and now lives in Indonesia and Daniel lives in Beijing.	The capital of Jack's country is [MASK].	Jakarta	Beijing
Daniel lives in Indonesia and Sebastian lives in Helsinki.	The capital of Daniel's country is [MASK].	Jakarta	Helsinki
Daniel has a sister and now lives in Indonesia and Sebastian lives in Helsinki.	The capital of Daniel's country is [MASK].	Jakarta	Helsinki
Daniel has a sister, played basketball and now lives in Indonesia and Sebastian lives in Helsinki.	The capital of Daniel's country is [MASK].	Jakarta	Helsinki
Daniel has a sister, played basketball, sang in a choir and now lives in Indonesia and Sebastian lives in Helsinki.	The capital of Daniel's country is [MASK].	Jakarta	Helsinki
Jack lives in Indonesia and Jake lives in Paris.	The capital of Jack's country is [MASK].	Jakarta	Paris
Jack has a sister and now lives in Indonesia and Jake lives in Paris.	The capital of Jack's country is [MASK].	Jakarta	Paris
Jack has a sister, played basketball and now lives in Indonesia and Jake lives in Paris.	The capital of Jack's country is [MASK].	Jakarta	Paris
Jack has a sister, played basketball, sang in a choir and now lives in Indonesia and Jake lives in Paris.	The capital of Jack's country is [MASK].	Jakarta	Paris
Jake lives in Indonesia and Jack lives in Warsaw.	The capital of Jake's country is [MASK].	Jakarta	Warsaw
Jake has a sister and now lives in Indonesia and Jack lives in Warsaw.	The capital of Jake's country is [MASK].	Jakarta	Warsaw
Jake has a sister, played basketball and now lives in Indonesia and Jack lives in Warsaw.	The capital of Jake's country is [MASK].	Jakarta	Warsaw
Jake has a sister, played basketball, sang in a choir and now lives in Indonesia and Jack lives in Warsaw.	The capital of Jake's country is [MASK].	Jakarta	Warsaw
Sebastian lives in Poland and Daniel lives in Santiago.	The capital of Sebastian's country is [MASK].	Warsaw	Santiago
Sebastian has a sister and now lives in Poland and Daniel lives in Santiago.	The capital of Sebastian's country is [MASK].	Warsaw	Santiago
Sebastian has a sister, played basketball and now lives in Poland and Daniel lives in Santiago.	The capital of Sebastian's country is [MASK].	Warsaw	Santiago
Sebastian has a sister, played basketball, sang in a choir and now lives in Poland and Daniel lives in Santiago.	The capital of Sebastian's country is [MASK].	Warsaw	Santiago
Jake lives in Poland and Joe lives in Beijing.	The capital of Jake's country is [MASK].	Warsaw	Beijing
Jake has a sister and now lives in Poland and Joe lives in Beijing.	The capital of Jake's country is [MASK].	Warsaw	Beijing
Jake has a sister, played basketball and now lives in Poland and Joe lives in Beijing.	The capital of Jake's country is [MASK].	Warsaw	Beijing
Jake has a sister, played basketball, sang in a choir and now lives in Poland and Joe lives in Beijing.	The capital of Jake's country is [MASK].	Warsaw	Beijing
Sebastian lives in Poland and John lives in Helsinki.	The capital of Sebastian's country is [MASK].	Warsaw	Helsinki
Sebastian has a sister and now lives in Poland and John lives in Helsinki.	The capital of Sebastian's country is [MASK].	Warsaw	Helsinki
Sebastian has a sister, played basketball and now lives in Poland and John lives in Helsinki.	The capital of Sebastian's country is [MASK].	Warsaw	Helsinki
Sebastian has a sister, played basketball, sang in a choir and now lives in Poland and John lives in Helsinki.	The capital of Sebastian's country is [MASK].	Warsaw	Helsinki
Jake lives in Poland and Joe lives in Paris.	The capital of Jake's country is [MASK].	Warsaw	Paris
Jake has a sister and now lives in Poland and Joe lives in Paris.	The capital of Jake's country is [MASK].	Warsaw	Paris
Jake has a sister, played basketball and now lives in Poland and Joe lives in Paris.	The capital of Jake's country is [MASK].	Warsaw	Paris
Jake has a sister, played basketball, sang in a choir and now lives in Poland and Joe lives in Paris.	The capital of Jake's country is [MASK].	Warsaw	Paris
Daniel lives in Poland and Jack lives in Jakarta.	The capital of Daniel's country is [MASK].	Warsaw	Jakarta
Daniel has a sister and now lives in Poland and Jack lives in Jakarta.	The capital of Daniel's country is [MASK].	Warsaw	Jakarta
Daniel has a sister, played basketball and now lives in Poland and Jack lives in Jakarta.	The capital of Daniel's country is [MASK].	Warsaw	Jakarta
Daniel has a sister, played basketball, sang in a choir and now lives in Poland and Jack lives in Jakarta.	The capital of Daniel's country is [MASK].	Warsaw	Jakarta
