sentence	target_occupation
Rowan sits by the lake , reads newspaper and now works as a florist and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Rowan sits by the lake , reads newspaper , has a pet snake and now works as a florist and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Joe works as an optician and Rowan works as a florist . For his job , Rowan sells [MASK] .	flowers
Joe sits by the lake and now works as an optician and Rowan works as a florist . For his job , Rowan sells [MASK] .	flowers
Joe sits by the lake , has a pet snake and now works as an optician and Rowan works as a florist . For his job , Rowan sells [MASK] .	flowers
Joe sits by the lake , has a pet snake , drives a car and now works as an optician and Rowan works as a florist . For his job , Rowan sells [MASK] .	flowers
Rowan works as an optician and Daniel works as a butcher . For his job , Daniel sells [MASK] .	meat
Rowan drives a car and now works as an optician and Daniel works as a butcher . For his job , Daniel sells [MASK] .	meat
Rowan drives a car , reads newspaper and now works as an optician and Daniel works as a butcher . For his job , Daniel sells [MASK] .	meat
Rowan drives a car , reads newspaper , sits by the lake and now works as an optician and Daniel works as a butcher . For his job , Daniel sells [MASK] .	meat
Daniel works as an optician and Joe works as a baker . For his job , Joe sells [MASK] .	bread
Daniel sits by the lake and now works as an optician and Joe works as a baker . For his job , Joe sells [MASK] .	bread
Daniel sits by the lake , writes poetry and now works as an optician and Joe works as a baker . For his job , Joe sells [MASK] .	bread
Daniel sits by the lake , writes poetry , slept late last week and now works as an optician and Joe works as a baker . For his job , Joe sells [MASK] .	bread
Joe works as an optician and Sebastian works as a fisherman . For his job , Sebastian sells [MASK] .	fish
Joe drives a car and now works as an optician and Sebastian works as a fisherman . For his job , Sebastian sells [MASK] .	fish
Joe drives a car , sits by the lake and now works as an optician and Sebastian works as a fisherman . For his job , Sebastian sells [MASK] .	fish
Joe drives a car , sits by the lake , slept late last week and now works as an optician and Sebastian works as a fisherman . For his job , Sebastian sells [MASK] .	fish
Jake works as an optician and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Jake has a pet snake and now works as an optician and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Jake has a pet snake , slept late last week and now works as an optician and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Jake has a pet snake , slept late last week , writes poetry and now works as an optician and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Jack works as a butcher and Jake works as a florist . For his job , Jake sells [MASK] .	flowers
Jack slept late last week and now works as a butcher and Jake works as a florist . For his job , Jake sells [MASK] .	flowers
Jack slept late last week , reads newspaper and now works as a butcher and Jake works as a florist . For his job , Jake sells [MASK] .	flowers
Jack slept late last week , reads newspaper , writes poetry and now works as a butcher and Jake works as a florist . For his job , Jake sells [MASK] .	flowers
Sebastian works as a butcher and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Sebastian reads newspaper and now works as a butcher and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Sebastian reads newspaper , drives a car and now works as a butcher and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Sebastian reads newspaper , drives a car , slept late last week and now works as a butcher and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Daniel works as a butcher and Sebastian works as a baker . For his job , Sebastian sells [MASK] .	bread
Daniel writes poetry and now works as a butcher and Sebastian works as a baker . For his job , Sebastian sells [MASK] .	bread
Daniel writes poetry , slept late last week and now works as a butcher and Sebastian works as a baker . For his job , Sebastian sells [MASK] .	bread
Daniel writes poetry , slept late last week , drives a car and now works as a butcher and Sebastian works as a baker . For his job , Sebastian sells [MASK] .	bread
Joe works as a butcher and Rowan works as a fisherman . For his job , Rowan sells [MASK] .	fish
Joe has a pet snake and now works as a butcher and Rowan works as a fisherman . For his job , Rowan sells [MASK] .	fish
Joe has a pet snake , reads newspaper and now works as a butcher and Rowan works as a fisherman . For his job , Rowan sells [MASK] .	fish
Joe has a pet snake , reads newspaper , sits by the lake and now works as a butcher and Rowan works as a fisherman . For his job , Rowan sells [MASK] .	fish
Jake works as a butcher and Sebastian works as a painter . For his job , Sebastian sells [MASK] .	paintings
Jake sits by the lake and now works as a butcher and Sebastian works as a painter . For his job , Sebastian sells [MASK] .	paintings
Jake sits by the lake , has a pet snake and now works as a butcher and Sebastian works as a painter . For his job , Sebastian sells [MASK] .	paintings
Jake sits by the lake , has a pet snake , reads newspaper and now works as a butcher and Sebastian works as a painter . For his job , Sebastian sells [MASK] .	paintings
John works as a baker and Rowan works as a florist . For his job , Rowan sells [MASK] .	flowers
John reads newspaper and now works as a baker and Rowan works as a florist . For his job , Rowan sells [MASK] .	flowers
John reads newspaper , slept late last week and now works as a baker and Rowan works as a florist . For his job , Rowan sells [MASK] .	flowers
John reads newspaper , slept late last week , has a pet snake and now works as a baker and Rowan works as a florist . For his job , Rowan sells [MASK] .	flowers
John works as a baker and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
John slept late last week and now works as a baker and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
John slept late last week , writes poetry and now works as a baker and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
John slept late last week , writes poetry , drives a car and now works as a baker and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Jake works as a baker and Rowan works as a butcher . For his job , Rowan sells [MASK] .	meat
Jake writes poetry and now works as a baker and Rowan works as a butcher . For his job , Rowan sells [MASK] .	meat
Jake writes poetry , has a pet snake and now works as a baker and Rowan works as a butcher . For his job , Rowan sells [MASK] .	meat
Jake writes poetry , has a pet snake , slept late last week and now works as a baker and Rowan works as a butcher . For his job , Rowan sells [MASK] .	meat
Rowan works as a baker and Jack works as a fisherman . For his job , Jack sells [MASK] .	fish
Rowan sits by the lake and now works as a baker and Jack works as a fisherman . For his job , Jack sells [MASK] .	fish
Rowan sits by the lake , slept late last week and now works as a baker and Jack works as a fisherman . For his job , Jack sells [MASK] .	fish
Rowan sits by the lake , slept late last week , reads newspaper and now works as a baker and Jack works as a fisherman . For his job , Jack sells [MASK] .	fish
Daniel works as a baker and Sebastian works as a painter . For his job , Sebastian sells [MASK] .	paintings
Daniel reads newspaper and now works as a baker and Sebastian works as a painter . For his job , Sebastian sells [MASK] .	paintings
Daniel reads newspaper , slept late last week and now works as a baker and Sebastian works as a painter . For his job , Sebastian sells [MASK] .	paintings
Daniel reads newspaper , slept late last week , sits by the lake and now works as a baker and Sebastian works as a painter . For his job , Sebastian sells [MASK] .	paintings
Daniel works as a fisherman and Jake works as a florist . For his job , Jake sells [MASK] .	flowers
Daniel writes poetry and now works as a fisherman and Jake works as a florist . For his job , Jake sells [MASK] .	flowers
Daniel writes poetry , slept late last week and now works as a fisherman and Jake works as a florist . For his job , Jake sells [MASK] .	flowers
Daniel writes poetry , slept late last week , sits by the lake and now works as a fisherman and Jake works as a florist . For his job , Jake sells [MASK] .	flowers
John works as a fisherman and Sebastian works as an optician . For his job , Sebastian sells [MASK] .	glasses
John sits by the lake and now works as a fisherman and Sebastian works as an optician . For his job , Sebastian sells [MASK] .	glasses
John sits by the lake , slept late last week and now works as a fisherman and Sebastian works as an optician . For his job , Sebastian sells [MASK] .	glasses
John sits by the lake , slept late last week , writes poetry and now works as a fisherman and Sebastian works as an optician . For his job , Sebastian sells [MASK] .	glasses
Sebastian works as a fisherman and Jack works as a butcher . For his job , Jack sells [MASK] .	meat
Sebastian slept late last week and now works as a fisherman and Jack works as a butcher . For his job , Jack sells [MASK] .	meat
Sebastian slept late last week , reads newspaper and now works as a fisherman and Jack works as a butcher . For his job , Jack sells [MASK] .	meat
Sebastian slept late last week , reads newspaper , sits by the lake and now works as a fisherman and Jack works as a butcher . For his job , Jack sells [MASK] .	meat
Jack works as a fisherman and Jake works as a baker . For his job , Jake sells [MASK] .	bread
Jack drives a car and now works as a fisherman and Jake works as a baker . For his job , Jake sells [MASK] .	bread
Jack drives a car , sits by the lake and now works as a fisherman and Jake works as a baker . For his job , Jake sells [MASK] .	bread
Jack drives a car , sits by the lake , writes poetry and now works as a fisherman and Jake works as a baker . For his job , Jake sells [MASK] .	bread
Daniel works as a fisherman and Jake works as a painter . For his job , Jake sells [MASK] .	paintings
Daniel sits by the lake and now works as a fisherman and Jake works as a painter . For his job , Jake sells [MASK] .	paintings
Daniel sits by the lake , has a pet snake and now works as a fisherman and Jake works as a painter . For his job , Jake sells [MASK] .	paintings
Daniel sits by the lake , has a pet snake , reads newspaper and now works as a fisherman and Jake works as a painter . For his job , Jake sells [MASK] .	paintings
Daniel works as a painter and Joe works as a florist . For his job , Joe sells [MASK] .	flowers
Daniel has a pet snake and now works as a painter and Joe works as a florist . For his job , Joe sells [MASK] .	flowers
Daniel has a pet snake , writes poetry and now works as a painter and Joe works as a florist . For his job , Joe sells [MASK] .	flowers
Daniel has a pet snake , writes poetry , reads newspaper and now works as a painter and Joe works as a florist . For his job , Joe sells [MASK] .	flowers
Sebastian works as a painter and Joe works as an optician . For his job , Joe sells [MASK] .	glasses
Sebastian sits by the lake and now works as a painter and Joe works as an optician . For his job , Joe sells [MASK] .	glasses
Sebastian sits by the lake , slept late last week and now works as a painter and Joe works as an optician . For his job , Joe sells [MASK] .	glasses
Sebastian sits by the lake , slept late last week , reads newspaper and now works as a painter and Joe works as an optician . For his job , Joe sells [MASK] .	glasses
John works as a painter and Daniel works as a butcher . For his job , Daniel sells [MASK] .	meat
John slept late last week and now works as a painter and Daniel works as a butcher . For his job , Daniel sells [MASK] .	meat
John slept late last week , writes poetry and now works as a painter and Daniel works as a butcher . For his job , Daniel sells [MASK] .	meat
John slept late last week , writes poetry , sits by the lake and now works as a painter and Daniel works as a butcher . For his job , Daniel sells [MASK] .	meat
John works as a painter and Sebastian works as a baker . For his job , Sebastian sells [MASK] .	bread
John sits by the lake and now works as a painter and Sebastian works as a baker . For his job , Sebastian sells [MASK] .	bread
John sits by the lake , writes poetry and now works as a painter and Sebastian works as a baker . For his job , Sebastian sells [MASK] .	bread
John sits by the lake , writes poetry , has a pet snake and now works as a painter and Sebastian works as a baker . For his job , Sebastian sells [MASK] .	bread
Joe works as a painter and Sebastian works as a fisherman . For his job , Sebastian sells [MASK] .	fish
Joe has a pet snake and now works as a painter and Sebastian works as a fisherman . For his job , Sebastian sells [MASK] .	fish
Joe has a pet snake , reads newspaper and now works as a painter and Sebastian works as a fisherman . For his job , Sebastian sells [MASK] .	fish
Joe has a pet snake , reads newspaper , slept late last week and now works as a painter and Sebastian works as a fisherman . For his job , Sebastian sells [MASK] .	fish
Daniel works as a florist , Jake works as an optician , and John works as a butcher . For his job , Jake sells [MASK] .	glasses
Daniel works as a florist , Jake works as an optician , and John works as a butcher . For his job , John sells [MASK] .	meat
Daniel slept late last week and works as a florist , Jake works as an optician , and John works as a butcher . For his job , Jake sells [MASK] .	glasses
Daniel slept late last week and works as a florist , Jake works as an optician , and John works as a butcher . For his job , John sells [MASK] .	meat
Daniel slept late last week , writes poetry and now works as a florist , Jake works as an optician , and John works as a butcher . For his job , Jake sells [MASK] .	glasses
Daniel slept late last week , writes poetry and now works as a florist , Jake works as an optician , and John works as a butcher . For his job , John sells [MASK] .	meat
Daniel slept late last week , writes poetry , drives a car and now works as a florist , Jake works as an optician , and John works as a butcher . For his job , Jake sells [MASK] .	glasses
Daniel slept late last week , writes poetry , drives a car and now works as a florist , Jake works as an optician , and John works as a butcher . For his job , John sells [MASK] .	meat
Jack works as a florist , Joe works as an optician , and Jake works as a baker . For his job , Joe sells [MASK] .	glasses
Jack works as a florist , Joe works as an optician , and Jake works as a baker . For his job , Jake sells [MASK] .	bread
Jack sits by the lake and works as a florist , Joe works as an optician , and Jake works as a baker . For his job , Joe sells [MASK] .	glasses
Jack sits by the lake and works as a florist , Joe works as an optician , and Jake works as a baker . For his job , Jake sells [MASK] .	bread
Jack sits by the lake , drives a car and now works as a florist , Joe works as an optician , and Jake works as a baker . For his job , Joe sells [MASK] .	glasses
Jack sits by the lake , drives a car and now works as a florist , Joe works as an optician , and Jake works as a baker . For his job , Jake sells [MASK] .	bread
Jack sits by the lake , drives a car , reads newspaper and now works as a florist , Joe works as an optician , and Jake works as a baker . For his job , Joe sells [MASK] .	glasses
Jack sits by the lake , drives a car , reads newspaper and now works as a florist , Joe works as an optician , and Jake works as a baker . For his job , Jake sells [MASK] .	bread
Daniel works as a florist , Joe works as an optician , and Rowan works as a fisherman . For his job , Joe sells [MASK] .	glasses
Daniel works as a florist , Joe works as an optician , and Rowan works as a fisherman . For his job , Rowan sells [MASK] .	fish
Daniel has a pet snake and works as a florist , Joe works as an optician , and Rowan works as a fisherman . For his job , Joe sells [MASK] .	glasses
Daniel has a pet snake and works as a florist , Joe works as an optician , and Rowan works as a fisherman . For his job , Rowan sells [MASK] .	fish
Daniel has a pet snake , sits by the lake and now works as a florist , Joe works as an optician , and Rowan works as a fisherman . For his job , Joe sells [MASK] .	glasses
Daniel has a pet snake , sits by the lake and now works as a florist , Joe works as an optician , and Rowan works as a fisherman . For his job , Rowan sells [MASK] .	fish
Daniel has a pet snake , sits by the lake , slept late last week and now works as a florist , Joe works as an optician , and Rowan works as a fisherman . For his job , Joe sells [MASK] .	glasses
Daniel has a pet snake , sits by the lake , slept late last week and now works as a florist , Joe works as an optician , and Rowan works as a fisherman . For his job , Rowan sells [MASK] .	fish
Sebastian works as a florist , Jake works as an optician , and Joe works as a painter . For his job , Jake sells [MASK] .	glasses
Sebastian works as a florist , Jake works as an optician , and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Sebastian writes poetry and works as a florist , Jake works as an optician , and Joe works as a painter . For his job , Jake sells [MASK] .	glasses
Sebastian writes poetry and works as a florist , Jake works as an optician , and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Sebastian writes poetry , slept late last week and now works as a florist , Jake works as an optician , and Joe works as a painter . For his job , Jake sells [MASK] .	glasses
Sebastian writes poetry , slept late last week and now works as a florist , Jake works as an optician , and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Sebastian writes poetry , slept late last week , drives a car and now works as a florist , Jake works as an optician , and Joe works as a painter . For his job , Jake sells [MASK] .	glasses
Sebastian writes poetry , slept late last week , drives a car and now works as a florist , Jake works as an optician , and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Joe works as a florist , Daniel works as a butcher , and Rowan works as an optician . For his job , Daniel sells [MASK] .	meat
Joe works as a florist , Daniel works as a butcher , and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Joe reads newspaper and works as a florist , Daniel works as a butcher , and Rowan works as an optician . For his job , Daniel sells [MASK] .	meat
Joe reads newspaper and works as a florist , Daniel works as a butcher , and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Joe reads newspaper , writes poetry and now works as a florist , Daniel works as a butcher , and Rowan works as an optician . For his job , Daniel sells [MASK] .	meat
Joe reads newspaper , writes poetry and now works as a florist , Daniel works as a butcher , and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Joe reads newspaper , writes poetry , sits by the lake and now works as a florist , Daniel works as a butcher , and Rowan works as an optician . For his job , Daniel sells [MASK] .	meat
Joe reads newspaper , writes poetry , sits by the lake and now works as a florist , Daniel works as a butcher , and Rowan works as an optician . For his job , Rowan sells [MASK] .	glasses
Jack works as a florist , Jake works as a butcher , and Joe works as a baker . For his job , Jake sells [MASK] .	meat
Jack works as a florist , Jake works as a butcher , and Joe works as a baker . For his job , Joe sells [MASK] .	bread
Jack slept late last week and works as a florist , Jake works as a butcher , and Joe works as a baker . For his job , Jake sells [MASK] .	meat
Jack slept late last week and works as a florist , Jake works as a butcher , and Joe works as a baker . For his job , Joe sells [MASK] .	bread
Jack slept late last week , has a pet snake and now works as a florist , Jake works as a butcher , and Joe works as a baker . For his job , Jake sells [MASK] .	meat
Jack slept late last week , has a pet snake and now works as a florist , Jake works as a butcher , and Joe works as a baker . For his job , Joe sells [MASK] .	bread
Jack slept late last week , has a pet snake , drives a car and now works as a florist , Jake works as a butcher , and Joe works as a baker . For his job , Jake sells [MASK] .	meat
Jack slept late last week , has a pet snake , drives a car and now works as a florist , Jake works as a butcher , and Joe works as a baker . For his job , Joe sells [MASK] .	bread
Jack works as a florist , Joe works as a butcher , and Sebastian works as a fisherman . For his job , Joe sells [MASK] .	meat
Jack works as a florist , Joe works as a butcher , and Sebastian works as a fisherman . For his job , Sebastian sells [MASK] .	fish
Jack writes poetry and works as a florist , Joe works as a butcher , and Sebastian works as a fisherman . For his job , Joe sells [MASK] .	meat
Jack writes poetry and works as a florist , Joe works as a butcher , and Sebastian works as a fisherman . For his job , Sebastian sells [MASK] .	fish
Jack writes poetry , drives a car and now works as a florist , Joe works as a butcher , and Sebastian works as a fisherman . For his job , Joe sells [MASK] .	meat
Jack writes poetry , drives a car and now works as a florist , Joe works as a butcher , and Sebastian works as a fisherman . For his job , Sebastian sells [MASK] .	fish
Jack writes poetry , drives a car , sits by the lake and now works as a florist , Joe works as a butcher , and Sebastian works as a fisherman . For his job , Joe sells [MASK] .	meat
Jack writes poetry , drives a car , sits by the lake and now works as a florist , Joe works as a butcher , and Sebastian works as a fisherman . For his job , Sebastian sells [MASK] .	fish
Daniel works as a florist , Joe works as a butcher , and Jake works as a painter . For his job , Joe sells [MASK] .	meat
Daniel works as a florist , Joe works as a butcher , and Jake works as a painter . For his job , Jake sells [MASK] .	paintings
Daniel sits by the lake and works as a florist , Joe works as a butcher , and Jake works as a painter . For his job , Joe sells [MASK] .	meat
Daniel sits by the lake and works as a florist , Joe works as a butcher , and Jake works as a painter . For his job , Jake sells [MASK] .	paintings
Daniel sits by the lake , reads newspaper and now works as a florist , Joe works as a butcher , and Jake works as a painter . For his job , Joe sells [MASK] .	meat
Daniel sits by the lake , reads newspaper and now works as a florist , Joe works as a butcher , and Jake works as a painter . For his job , Jake sells [MASK] .	paintings
Daniel sits by the lake , reads newspaper , slept late last week and now works as a florist , Joe works as a butcher , and Jake works as a painter . For his job , Joe sells [MASK] .	meat
Daniel sits by the lake , reads newspaper , slept late last week and now works as a florist , Joe works as a butcher , and Jake works as a painter . For his job , Jake sells [MASK] .	paintings
Sebastian works as a florist , John works as a baker , and Joe works as an optician . For his job , John sells [MASK] .	bread
Sebastian works as a florist , John works as a baker , and Joe works as an optician . For his job , Joe sells [MASK] .	glasses
Sebastian writes poetry and works as a florist , John works as a baker , and Joe works as an optician . For his job , John sells [MASK] .	bread
Sebastian writes poetry and works as a florist , John works as a baker , and Joe works as an optician . For his job , Joe sells [MASK] .	glasses
Sebastian writes poetry , drives a car and now works as a florist , John works as a baker , and Joe works as an optician . For his job , John sells [MASK] .	bread
Sebastian writes poetry , drives a car and now works as a florist , John works as a baker , and Joe works as an optician . For his job , Joe sells [MASK] .	glasses
Sebastian writes poetry , drives a car , reads newspaper and now works as a florist , John works as a baker , and Joe works as an optician . For his job , John sells [MASK] .	bread
Sebastian writes poetry , drives a car , reads newspaper and now works as a florist , John works as a baker , and Joe works as an optician . For his job , Joe sells [MASK] .	glasses
Jack works as a florist , Joe works as a baker , and Sebastian works as a butcher . For his job , Joe sells [MASK] .	bread
Jack works as a florist , Joe works as a baker , and Sebastian works as a butcher . For his job , Sebastian sells [MASK] .	meat
Jack sits by the lake and works as a florist , Joe works as a baker , and Sebastian works as a butcher . For his job , Joe sells [MASK] .	bread
Jack sits by the lake and works as a florist , Joe works as a baker , and Sebastian works as a butcher . For his job , Sebastian sells [MASK] .	meat
Jack sits by the lake , slept late last week and now works as a florist , Joe works as a baker , and Sebastian works as a butcher . For his job , Joe sells [MASK] .	bread
Jack sits by the lake , slept late last week and now works as a florist , Joe works as a baker , and Sebastian works as a butcher . For his job , Sebastian sells [MASK] .	meat
Jack sits by the lake , slept late last week , drives a car and now works as a florist , Joe works as a baker , and Sebastian works as a butcher . For his job , Joe sells [MASK] .	bread
Jack sits by the lake , slept late last week , drives a car and now works as a florist , Joe works as a baker , and Sebastian works as a butcher . For his job , Sebastian sells [MASK] .	meat
Jack works as a florist , Jake works as a baker , and Daniel works as a fisherman . For his job , Jake sells [MASK] .	bread
Jack works as a florist , Jake works as a baker , and Daniel works as a fisherman . For his job , Daniel sells [MASK] .	fish
Jack slept late last week and works as a florist , Jake works as a baker , and Daniel works as a fisherman . For his job , Jake sells [MASK] .	bread
Jack slept late last week and works as a florist , Jake works as a baker , and Daniel works as a fisherman . For his job , Daniel sells [MASK] .	fish
Jack slept late last week , reads newspaper and now works as a florist , Jake works as a baker , and Daniel works as a fisherman . For his job , Jake sells [MASK] .	bread
Jack slept late last week , reads newspaper and now works as a florist , Jake works as a baker , and Daniel works as a fisherman . For his job , Daniel sells [MASK] .	fish
Jack slept late last week , reads newspaper , writes poetry and now works as a florist , Jake works as a baker , and Daniel works as a fisherman . For his job , Jake sells [MASK] .	bread
Jack slept late last week , reads newspaper , writes poetry and now works as a florist , Jake works as a baker , and Daniel works as a fisherman . For his job , Daniel sells [MASK] .	fish
Rowan works as a florist , Daniel works as a baker , and Joe works as a painter . For his job , Daniel sells [MASK] .	bread
Rowan works as a florist , Daniel works as a baker , and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Rowan has a pet snake and works as a florist , Daniel works as a baker , and Joe works as a painter . For his job , Daniel sells [MASK] .	bread
Rowan has a pet snake and works as a florist , Daniel works as a baker , and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Rowan has a pet snake , slept late last week and now works as a florist , Daniel works as a baker , and Joe works as a painter . For his job , Daniel sells [MASK] .	bread
Rowan has a pet snake , slept late last week and now works as a florist , Daniel works as a baker , and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
Rowan has a pet snake , slept late last week , writes poetry and now works as a florist , Daniel works as a baker , and Joe works as a painter . For his job , Daniel sells [MASK] .	bread
Rowan has a pet snake , slept late last week , writes poetry and now works as a florist , Daniel works as a baker , and Joe works as a painter . For his job , Joe sells [MASK] .	paintings
John works as a florist , Rowan works as a fisherman , and Jack works as an optician . For his job , Rowan sells [MASK] .	fish
John works as a florist , Rowan works as a fisherman , and Jack works as an optician . For his job , Jack sells [MASK] .	glasses
John writes poetry and works as a florist , Rowan works as a fisherman , and Jack works as an optician . For his job , Rowan sells [MASK] .	fish
John writes poetry and works as a florist , Rowan works as a fisherman , and Jack works as an optician . For his job , Jack sells [MASK] .	glasses
John writes poetry , has a pet snake and now works as a florist , Rowan works as a fisherman , and Jack works as an optician . For his job , Rowan sells [MASK] .	fish
John writes poetry , has a pet snake and now works as a florist , Rowan works as a fisherman , and Jack works as an optician . For his job , Jack sells [MASK] .	glasses
John writes poetry , has a pet snake , sits by the lake and now works as a florist , Rowan works as a fisherman , and Jack works as an optician . For his job , Rowan sells [MASK] .	fish
John writes poetry , has a pet snake , sits by the lake and now works as a florist , Rowan works as a fisherman , and Jack works as an optician . For his job , Jack sells [MASK] .	glasses
John works as a florist , Sebastian works as a fisherman , and Joe works as a butcher . For his job , Sebastian sells [MASK] .	fish
John works as a florist , Sebastian works as a fisherman , and Joe works as a butcher . For his job , Joe sells [MASK] .	meat
John sits by the lake and works as a florist , Sebastian works as a fisherman , and Joe works as a butcher . For his job , Sebastian sells [MASK] .	fish
John sits by the lake and works as a florist , Sebastian works as a fisherman , and Joe works as a butcher . For his job , Joe sells [MASK] .	meat
John sits by the lake , reads newspaper and now works as a florist , Sebastian works as a fisherman , and Joe works as a butcher . For his job , Sebastian sells [MASK] .	fish
John sits by the lake , reads newspaper and now works as a florist , Sebastian works as a fisherman , and Joe works as a butcher . For his job , Joe sells [MASK] .	meat
John sits by the lake , reads newspaper , has a pet snake and now works as a florist , Sebastian works as a fisherman , and Joe works as a butcher . For his job , Sebastian sells [MASK] .	fish
John sits by the lake , reads newspaper , has a pet snake and now works as a florist , Sebastian works as a fisherman , and Joe works as a butcher . For his job , Joe sells [MASK] .	meat
Joe works as a florist , John works as a fisherman , and Daniel works as a baker . For his job , John sells [MASK] .	fish
Joe works as a florist , John works as a fisherman , and Daniel works as a baker . For his job , Daniel sells [MASK] .	bread
Joe reads newspaper and works as a florist , John works as a fisherman , and Daniel works as a baker . For his job , John sells [MASK] .	fish
Joe reads newspaper and works as a florist , John works as a fisherman , and Daniel works as a baker . For his job , Daniel sells [MASK] .	bread
